,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
0,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,0.0,0.0,reference,26136,MisinfoPy
1,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,0.0,10.0,reference,26137,MisinfoPy
2,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,0.0,20.0,reference,26138,MisinfoPy
3,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,0.0,30.0,reference,26139,MisinfoPy
4,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,0.0,40.0,reference,26140,MisinfoPy
5,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,0.0,50.0,reference,26141,MisinfoPy
6,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,10.0,0.0,reference,26142,MisinfoPy
7,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,10.0,10.0,reference,26143,MisinfoPy
8,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,10.0,20.0,reference,26144,MisinfoPy
9,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,10.0,30.0,reference,26145,MisinfoPy
10,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,10.0,40.0,reference,26146,MisinfoPy
11,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,10.0,50.0,reference,26147,MisinfoPy
12,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,20.0,0.0,reference,26148,MisinfoPy
13,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,20.0,10.0,reference,26149,MisinfoPy
14,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,20.0,20.0,reference,26150,MisinfoPy
15,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,20.0,30.0,reference,26151,MisinfoPy
16,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,20.0,40.0,reference,26152,MisinfoPy
17,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,0.0,0.0,20.0,50.0,reference,26153,MisinfoPy
