,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
4009,4009,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,100.0,10.0,20.0,10.0,reference,30145,MisinfoPy
4012,4012,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,100.0,10.0,20.0,40.0,reference,30148,MisinfoPy
4015,4015,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,100.0,10.0,30.0,10.0,reference,30151,MisinfoPy
4016,4016,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,100.0,10.0,30.0,20.0,reference,30152,MisinfoPy
4022,4022,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,100.0,10.0,40.0,20.0,reference,30158,MisinfoPy
8348,8348,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,10.0,100.0,0.0,50.0,20.0,reference,34484,MisinfoPy
8362,8362,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,10.0,100.0,10.0,10.0,40.0,reference,34498,MisinfoPy
8366,8366,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,10.0,100.0,10.0,20.0,20.0,reference,34502,MisinfoPy
8370,8370,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,10.0,100.0,10.0,30.0,0.0,reference,34506,MisinfoPy
8383,8383,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,10.0,100.0,10.0,50.0,10.0,reference,34519,MisinfoPy
12716,12716,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,10.0,20.0,reference,38852,MisinfoPy
12718,12718,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,10.0,40.0,reference,38854,MisinfoPy
12720,12720,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,20.0,0.0,reference,38856,MisinfoPy
12721,12721,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,20.0,10.0,reference,38857,MisinfoPy
12737,12737,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,40.0,50.0,reference,38873,MisinfoPy
12738,12738,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,50.0,0.0,reference,38874,MisinfoPy
17071,17071,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,30.0,100.0,10.0,10.0,10.0,reference,43207,MisinfoPy
21418,21418,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,40.0,100.0,0.0,50.0,40.0,reference,47554,MisinfoPy
25770,25770,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,0.0,50.0,0.0,reference,51906,MisinfoPy
25793,25793,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,10.0,20.0,50.0,reference,51929,MisinfoPy
25803,25803,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,10.0,40.0,30.0,reference,51939,MisinfoPy
25808,25808,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,10.0,50.0,20.0,reference,51944,MisinfoPy
25809,25809,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,10.0,50.0,30.0,reference,51945,MisinfoPy
25810,25810,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,10.0,50.0,40.0,reference,51946,MisinfoPy
