,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
3991,3991,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,100.0,0.0,50.0,10.0,reference,3991,MisinfoPy
4007,4007,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,100.0,10.0,10.0,50.0,reference,4007,MisinfoPy
4009,4009,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,100.0,10.0,20.0,10.0,reference,4009,MisinfoPy
4010,4010,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,0.0,100.0,10.0,20.0,20.0,reference,4010,MisinfoPy
8365,8365,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,10.0,100.0,10.0,20.0,10.0,reference,8365,MisinfoPy
8369,8369,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,10.0,100.0,10.0,20.0,50.0,reference,8369,MisinfoPy
8370,8370,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,10.0,100.0,10.0,30.0,0.0,reference,8370,MisinfoPy
8372,8372,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,10.0,100.0,10.0,30.0,20.0,reference,8372,MisinfoPy
12714,12714,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,10.0,0.0,reference,12714,MisinfoPy
12716,12716,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,10.0,20.0,reference,12716,MisinfoPy
12735,12735,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,40.0,30.0,reference,12735,MisinfoPy
12738,12738,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,20.0,100.0,10.0,50.0,0.0,reference,12738,MisinfoPy
17091,17091,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,30.0,100.0,10.0,40.0,30.0,reference,17091,MisinfoPy
17097,17097,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,30.0,100.0,10.0,50.0,30.0,reference,17097,MisinfoPy
21427,21427,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,40.0,100.0,10.0,10.0,10.0,reference,21427,MisinfoPy
21435,21435,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,40.0,100.0,10.0,20.0,30.0,reference,21435,MisinfoPy
21445,21445,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,40.0,100.0,10.0,40.0,10.0,reference,21445,MisinfoPy
25770,25770,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,0.0,50.0,0.0,reference,25770,MisinfoPy
25771,25771,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,0.0,50.0,10.0,reference,25771,MisinfoPy
25785,25785,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,10.0,10.0,30.0,reference,25785,MisinfoPy
25801,25801,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,10.0,40.0,10.0,reference,25801,MisinfoPy
25808,25808,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,50.0,100.0,10.0,50.0,20.0,reference,25808,MisinfoPy
