,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
4009,827.7666666666667,232.53900000000004,147.1008,0.1116426208238241,22.971000000000004
4012,933.9,145.36100000000002,169.21833333333333,0.207587304257744,26.781333333333333
4015,872.6,197.36966666666663,155.4660666666667,0.10803014321832521,24.41166666666667
4016,915.3333333333334,157.7783333333333,164.29236666666668,0.1441884847698348,25.907333333333334
4022,928.3,147.26399999999998,170.31393333333335,0.14174952785565728,26.895666666666664
8348,850.9,209.4023333333333,145.6368666666667,0.17214813608866048,22.964666666666666
8362,920.1666666666666,160.07200000000003,162.43439999999998,0.22096559135937366,25.646999999999995
8366,897.9333333333333,172.788,157.9133,0.15085162263286647,24.884333333333338
8370,806.5666666666667,263.7213333333333,145.44203333333328,0.06640594969942872,22.987999999999996
8383,894.4666666666667,182.39666666666668,160.97196666666667,0.10991432388141956,25.400999999999996
12716,868.8333333333334,193.83866666666665,151.36306666666667,0.16230279487022348,23.729999999999986
12718,919.6666666666666,158.90933333333334,162.86573333333328,0.22104389046849524,25.70233333333333
12720,752.0333333333333,299.96433333333334,141.2508666666667,0.064461285173478,21.976666666666667
12721,832.5666666666667,227.79233333333337,148.5195666666667,0.11187647249429025,23.164666666666673
12737,945.4333333333333,139.38400000000001,176.35616666666667,0.22131543159403336,27.956
12738,838.8333333333334,246.72733333333338,150.06323333333333,0.0702811569704724,23.98399999999999
17071,778.8,267.80100000000004,141.3852333333333,0.11842306377459792,21.95966666666667
21418,907.4333333333333,171.57533333333333,157.25706666666665,0.23172175823724975,24.958333333333325
25770,615.1,384.3733333333333,148.58006666666662,0.059963007907100775,21.844999999999995
25793,935.6666666666666,148.8673333333333,169.3906333333334,0.2298784609463111,26.829666666666665
25803,943.4333333333333,133.81566666666666,175.86929999999998,0.17017284617536285,27.855333333333338
25808,930.2666666666667,145.5666666666667,171.56963333333334,0.14272224017369314,27.16566666666666
25809,946.3,132.208,177.36443333333332,0.1727056030306889,28.160333333333327
25810,948.8,131.99966666666666,178.63386666666665,0.19668824087884618,28.352666666666664
