,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
3991,860.8,377.75866666666667,230.58356666666663,0.13622825446451178,35.972666666666676
4007,926.2333333333333,278.6423333333333,241.19823333333338,0.2595673353628863,37.88766666666666
4009,904.2666666666667,307.2573333333333,242.07346666666666,0.1283886856783431,37.92066666666666
4010,924.0333333333333,264.52366666666666,247.33593333333332,0.17069156171190158,38.925
8365,901.5666666666667,301.8623333333334,241.28016666666664,0.12614146996150724,37.74933333333333
8369,935.2666666666667,258.47366666666665,248.28833333333333,0.24917700606622495,38.87866666666666
8370,871.5,362.85066666666665,235.17933333333346,0.07554118745246065,36.95166666666667
8372,936.2,246.4626666666667,253.3109333333333,0.1677258415846232,39.869333333333316
12714,808.2,445.80666666666656,231.7098333333333,0.07199622924792268,35.796
12716,915.7333333333333,282.5346666666666,240.5153,0.17715535373964772,37.675000000000004
12735,940.1666666666666,239.76999999999998,252.7699333333333,0.20236210057786444,39.764
12738,883.0333333333333,348.7766666666667,240.43116666666666,0.07657221663169192,37.93200000000001
17091,939.3666666666667,240.16199999999998,252.95906666666679,0.19999976239305667,39.85200000000001
17097,942.1,237.83233333333334,257.1785666666667,0.19860182907705617,40.61366666666667
21427,879.8666666666667,336.3313333333335,234.28073333333333,0.1324148657651378,36.493666666666655
21435,932.0,262.13399999999996,247.10690000000002,0.20486094462191443,38.874
21445,925.5,266.3183333333334,252.00656666666666,0.12700295992788327,39.611
25770,733.5333333333333,526.082,230.21733333333336,0.07160818605436835,34.96533333333333
25771,859.4333333333333,373.438,231.14980000000006,0.13455767912451064,35.857
25785,923.7,275.17833333333334,242.1169,0.21328061208962232,37.998666666666665
25801,920.5,273.28566666666666,246.26046666666664,0.12897329485113976,38.751333333333335
25808,939.0666666666667,242.03900000000002,258.6401,0.16896515043904808,40.652
