,belief_metric_threshold,deffuant_mu,high_media_lit,mean_disinformer,mean_normal_user,n_edges,n_posts_estimate_similarity,ratio_normal_user,sampling_p_update,mlit_select,del_t,rank_punish,rank_t,strikes_t,scenario,policy,model
0,80.0,0.0299253839649301,0.2686036932278577,11.0,2.0,2.0,5.0,0.985177411651043,0.0203407351222199,100.0,0.0,0.0,50.0,10.0,0,0,MisinfoPy
1,79.0,0.0111337533725977,0.2734148754443381,8.0,0.0,3.0,6.0,0.9936622762534888,0.0155041632991381,100.0,0.0,0.0,50.0,10.0,1,0,MisinfoPy
2,80.0,0.0150658899662497,0.3165026774305036,10.0,1.0,2.0,6.0,0.9817120085306312,0.0274639197892285,100.0,0.0,0.0,50.0,10.0,2,0,MisinfoPy
3,75.0,0.0104389416481989,0.2898453201200917,12.0,0.0,3.0,10.0,0.982717701047632,0.0263952393509819,100.0,0.0,0.0,50.0,10.0,3,0,MisinfoPy
4,80.0,0.0229946884963286,0.2715953720241978,11.0,2.0,3.0,15.0,0.9847023205679452,0.0120140444315901,100.0,0.0,0.0,50.0,10.0,4,0,MisinfoPy
5,78.0,0.0286360800071595,0.318132389957697,10.0,2.0,3.0,12.0,0.9909461643639204,0.0135154234083271,100.0,0.0,0.0,50.0,10.0,5,0,MisinfoPy
6,79.0,0.0279833720912671,0.2750677270263837,9.0,1.0,3.0,11.0,0.991743563560276,0.0243113637389133,100.0,0.0,0.0,50.0,10.0,6,0,MisinfoPy
7,76.0,0.0123313262967474,0.3315017509095029,9.0,0.0,2.0,5.0,0.9824558707336154,0.0293784887081614,100.0,0.0,0.0,50.0,10.0,7,0,MisinfoPy
8,78.0,0.0222805181799654,0.2632350410263794,11.0,2.0,2.0,14.0,0.9856428572107112,0.0181098169629521,100.0,0.0,0.0,50.0,10.0,8,0,MisinfoPy
9,80.0,0.0144410727229284,0.3030974724516627,9.0,1.0,3.0,8.0,0.9891207245090112,0.0162337916865862,100.0,0.0,0.0,50.0,10.0,9,0,MisinfoPy
10,80.0,0.0155199996825442,0.2876152247375163,10.0,1.0,2.0,7.0,0.9895733215267214,0.0136408701086872,100.0,0.0,0.0,50.0,10.0,10,0,MisinfoPy
11,80.0,0.0283798347978142,0.3075987666071173,12.0,1.0,2.0,13.0,0.9880391573835796,0.0268381909236415,100.0,0.0,0.0,50.0,10.0,11,0,MisinfoPy
12,78.0,0.0238742516506969,0.34053153415885,12.0,1.0,2.0,11.0,0.986251055312106,0.028622735346571,100.0,0.0,0.0,50.0,10.0,12,0,MisinfoPy
13,78.0,0.0202334681746995,0.328822048933258,10.0,0.0,2.0,11.0,0.9926659418264364,0.0279605818990789,100.0,0.0,0.0,50.0,10.0,13,0,MisinfoPy
14,78.0,0.0165423682564252,0.2571720798856116,10.0,1.0,2.0,11.0,0.9800439002137042,0.0238483213618672,100.0,0.0,0.0,50.0,10.0,14,0,MisinfoPy
15,75.0,0.0139572578643493,0.3467476677429714,11.0,2.0,2.0,6.0,0.9925621159078512,0.0149587379329587,100.0,0.0,0.0,50.0,10.0,15,0,MisinfoPy
16,76.0,0.0234024663547501,0.3490911018401743,9.0,1.0,2.0,15.0,0.985022263214491,0.0100232012141731,100.0,0.0,0.0,50.0,10.0,16,0,MisinfoPy
