,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,mlit_select,del_t,rank_punish,rank_t,strikes_t,scenario,policy,model
0,80.0,2.0,0.985177411651043,2.0,11.0,0.2686036932278577,0.0299253839649301,0.0203407351222199,5.0,100.0,0.0,10.0,50.0,30.0,0,0,MisinfoPy
1,79.0,3.0,0.9936622762534888,0.0,8.0,0.2734148754443381,0.0111337533725977,0.0155041632991381,6.0,100.0,0.0,10.0,50.0,30.0,1,0,MisinfoPy
2,80.0,2.0,0.9817120085306312,1.0,10.0,0.3165026774305036,0.0150658899662497,0.0274639197892285,6.0,100.0,0.0,10.0,50.0,30.0,2,0,MisinfoPy
3,75.0,3.0,0.982717701047632,0.0,12.0,0.2898453201200917,0.0104389416481989,0.0263952393509819,10.0,100.0,0.0,10.0,50.0,30.0,3,0,MisinfoPy
4,80.0,3.0,0.9847023205679452,2.0,11.0,0.2715953720241978,0.0229946884963286,0.0120140444315901,15.0,100.0,0.0,10.0,50.0,30.0,4,0,MisinfoPy
5,78.0,3.0,0.9909461643639204,2.0,10.0,0.318132389957697,0.0286360800071595,0.0135154234083271,12.0,100.0,0.0,10.0,50.0,30.0,5,0,MisinfoPy
6,79.0,3.0,0.991743563560276,1.0,9.0,0.2750677270263837,0.0279833720912671,0.0243113637389133,11.0,100.0,0.0,10.0,50.0,30.0,6,0,MisinfoPy
7,76.0,2.0,0.9824558707336154,0.0,9.0,0.3315017509095029,0.0123313262967474,0.0293784887081614,5.0,100.0,0.0,10.0,50.0,30.0,7,0,MisinfoPy
8,78.0,2.0,0.9856428572107112,2.0,11.0,0.2632350410263794,0.0222805181799654,0.0181098169629521,14.0,100.0,0.0,10.0,50.0,30.0,8,0,MisinfoPy
9,80.0,3.0,0.9891207245090112,1.0,9.0,0.3030974724516627,0.0144410727229284,0.0162337916865862,8.0,100.0,0.0,10.0,50.0,30.0,9,0,MisinfoPy
10,80.0,2.0,0.9895733215267214,1.0,10.0,0.2876152247375163,0.0155199996825442,0.0136408701086872,7.0,100.0,0.0,10.0,50.0,30.0,10,0,MisinfoPy
11,80.0,2.0,0.9880391573835796,1.0,12.0,0.3075987666071173,0.0283798347978142,0.0268381909236415,13.0,100.0,0.0,10.0,50.0,30.0,11,0,MisinfoPy
12,78.0,2.0,0.986251055312106,1.0,12.0,0.34053153415885,0.0238742516506969,0.028622735346571,11.0,100.0,0.0,10.0,50.0,30.0,12,0,MisinfoPy
13,78.0,2.0,0.9926659418264364,0.0,10.0,0.328822048933258,0.0202334681746995,0.0279605818990789,11.0,100.0,0.0,10.0,50.0,30.0,13,0,MisinfoPy
14,78.0,2.0,0.9800439002137042,1.0,10.0,0.2571720798856116,0.0165423682564252,0.0238483213618672,11.0,100.0,0.0,10.0,50.0,30.0,14,0,MisinfoPy
15,75.0,2.0,0.9925621159078512,2.0,11.0,0.3467476677429714,0.0139572578643493,0.0149587379329587,6.0,100.0,0.0,10.0,50.0,30.0,15,0,MisinfoPy
16,76.0,2.0,0.985022263214491,1.0,9.0,0.3490911018401743,0.0234024663547501,0.0100232012141731,15.0,100.0,0.0,10.0,50.0,30.0,16,0,MisinfoPy
17,76.0,3.0,0.9900284717459232,0.0,11.0,0.2778727352722803,0.0262884099780179,0.0131598062493048,10.0,100.0,0.0,10.0,50.0,30.0,17,0,MisinfoPy
18,77.0,3.0,0.9809674931097712,2.0,10.0,0.2650675266546597,0.0116034383185158,0.0225062172254371,9.0,100.0,0.0,10.0,50.0,30.0,18,0,MisinfoPy
19,75.0,3.0,0.9916351363227272,2.0,8.0,0.2995535167375782,0.0245495458467838,0.0159203507441027,13.0,100.0,0.0,10.0,50.0,30.0,19,0,MisinfoPy
20,77.0,3.0,0.988418041320472,1.0,11.0,0.312217140634846,0.0274905572860094,0.0142847858302271,12.0,100.0,0.0,10.0,50.0,30.0,20,0,MisinfoPy
21,77.0,3.0,0.9872028857311952,2.0,11.0,0.3356417602280681,0.0189941371533705,0.0124192607782816,14.0,100.0,0.0,10.0,50.0,30.0,21,0,MisinfoPy
22,77.0,3.0,0.9836883241383853,0.0,9.0,0.3081888688713352,0.0209604081962267,0.0116051822505563,7.0,100.0,0.0,10.0,50.0,30.0,22,0,MisinfoPy
23,79.0,2.0,0.990446543502186,1.0,10.0,0.3458139345594649,0.0178985826731951,0.0144989000702763,8.0,100.0,0.0,10.0,50.0,30.0,23,0,MisinfoPy
24,77.0,2.0,0.982067473472522,0.0,8.0,0.2585322053555808,0.0212183466860608,0.019221119320182,9.0,100.0,0.0,10.0,50.0,30.0,24,0,MisinfoPy
25,78.0,3.0,0.9844741116573644,1.0,8.0,0.2510343763655922,0.0171644281469936,0.0245240370892637,5.0,100.0,0.0,10.0,50.0,30.0,25,0,MisinfoPy
26,78.0,2.0,0.980570006865624,2.0,8.0,0.2543645554602683,0.0141011164881213,0.0105600809635183,15.0,100.0,0.0,10.0,50.0,30.0,26,0,MisinfoPy
27,77.0,2.0,0.9876688535452244,2.0,8.0,0.3339062572471228,0.0288039002002594,0.0282027823293031,14.0,100.0,0.0,10.0,50.0,30.0,27,0,MisinfoPy
28,76.0,2.0,0.988782767814109,2.0,9.0,0.2811195063142473,0.012448846621896,0.0108767484183907,8.0,100.0,0.0,10.0,50.0,30.0,28,0,MisinfoPy
29,79.0,3.0,0.9871723974749688,1.0,12.0,0.2919314348444234,0.0205464375359693,0.0229932059028394,9.0,100.0,0.0,10.0,50.0,30.0,29,0,MisinfoPy
30,75.0,2.0,0.9941862919647434,2.0,8.0,0.3143371026457791,0.010048341660904,0.0175953677659886,10.0,100.0,0.0,10.0,50.0,30.0,30,0,MisinfoPy
31,75.0,2.0,0.980839650082909,0.0,10.0,0.3432136850880645,0.0267889428556949,0.0265630001792501,10.0,100.0,0.0,10.0,50.0,30.0,31,0,MisinfoPy
32,75.0,3.0,0.9832082300963012,0.0,12.0,0.3001333701207734,0.0193899750225625,0.0204426076380287,15.0,100.0,0.0,10.0,50.0,30.0,32,0,MisinfoPy
33,79.0,3.0,0.9949649761964962,1.0,9.0,0.2798633794927822,0.0180559652549399,0.0165466737019088,11.0,100.0,0.0,10.0,50.0,30.0,33,0,MisinfoPy
34,76.0,3.0,0.9857188734506308,0.0,8.0,0.3368246697878725,0.0227140740920445,0.0234660955643312,14.0,100.0,0.0,10.0,50.0,30.0,34,0,MisinfoPy
35,75.0,3.0,0.9841799573680928,0.0,11.0,0.2848274272775347,0.0248722130915869,0.021236196859546,13.0,100.0,0.0,10.0,50.0,30.0,35,0,MisinfoPy
36,77.0,3.0,0.9863372938435412,2.0,12.0,0.2660267522760609,0.0174922242008906,0.01687817970596,12.0,100.0,0.0,10.0,50.0,30.0,36,0,MisinfoPy
37,76.0,2.0,0.9866891448561678,0.0,12.0,0.2951769716109299,0.0134072426919024,0.0222635906039256,9.0,100.0,0.0,10.0,50.0,30.0,37,0,MisinfoPy
