,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort,n_seeds
0.5,956.0,117.13,240.776,0.170339483729592,43.535,1
0.5,925.0,173.94,289.4405,0.21898196321711305,36.29,1
0.5,929.5,166.075,255.023,0.22745238081450264,39.5,1
0.5,937.0,150.14999999999998,257.5375,0.19964675145584976,34.864999999999995,1
0.5,923.0,175.95,266.806,0.21575056219533484,39.44,1
0.5,943.0,160.79500000000002,266.20050000000003,0.2045032494187633,40.825,1
0.5,942.0,159.14499999999998,266.177,0.1999142473601517,37.584999999999994,1
0.5,963.5,114.705,253.55,0.14791564515372635,42.555,1
0.5,944.5,151.585,337.47950000000003,0.2002944546003479,41.985,1
0.5,936.0,164.19,258.39549999999997,0.22052678897037195,38.905,1
0.5,926.0,167.76,265.48699999999997,0.2089677324265296,37.709999999999994,1
0.5,912.0,174.97,228.32150000000001,0.2134257912288578,31.255000000000003,1
0.5,935.0,156.7,257.2415,0.2036374021630719,38.269999999999996,1
0.5,950.5,127.045,247.95499999999998,0.16513585098377295,38.735,1
0.5,922.5,159.72,248.0455,0.19448078774591904,37.004999999999995,1
0.5,917.0,160.32,220.394,0.19568092083429625,37.385,1
0.5,938.0,156.11,265.20349999999996,0.20520395446800072,39.345,1
0.5,922.5,159.72,248.0455,0.19448078774591904,37.004999999999995,1
0.5,932.0,150.675,250.82350000000002,0.19218188545292145,38.665,1
0.5,945.0,157.435,302.3945,0.19948085289809195,41.26,1
0.5,893.5,192.18,237.7645,0.2292459025517948,34.055,1
0.5,934.0,164.335,278.20450000000005,0.20597938044073366,40.835,1
0.5,940.5,179.855,280.20050000000003,0.22973775612327324,38.175,1
0.5,952.0,141.16000000000003,267.54449999999997,0.1836521860712796,39.84,1
0.5,932.0,150.675,250.82350000000002,0.19218188545292145,38.665,1
0.5,940.5,151.73,276.9065,0.1963149685735355,39.224999999999994,1
0.5,930.5,167.29000000000002,286.539,0.22040899783507384,38.5,1
0.5,940.5,179.855,280.20050000000003,0.22973775612327324,38.175,1
0.5,937.0,168.54000000000002,313.335,0.2107408702133507,42.265,1
0.5,936.0,164.19,258.39549999999997,0.22052678897037195,38.905,1
0.5,942.0,174.15,303.6835,0.20977212481781782,43.120000000000005,1
0.5,925.5,176.445,300.60850000000005,0.21233748233659494,36.47,1
0.5,934.0,164.335,278.20450000000005,0.20597938044073366,40.835,1
0.5,953.0,145.22,259.651,0.1717051206221923,37.945,1
0.5,941.5,131.365,250.993,0.1762516675666532,38.92,1
0.5,940.5,155.39499999999998,283.743,0.19197615768464485,39.16,1
0.5,944.0,151.34,254.881,0.19266359714789255,38.735,1
0.5,934.0,164.335,278.20450000000005,0.20597938044073366,40.835,1
0.5,943.0,160.79500000000002,266.20050000000003,0.2045032494187633,40.825,1
0.5,912.0,174.97,228.32150000000001,0.2134257912288578,31.255000000000003,1
0.5,932.0,150.675,250.82350000000002,0.19218188545292145,38.665,1
0.5,951.0,130.915,278.346,0.17335964526141215,40.81,1
0.5,922.5,159.72,248.0455,0.19448078774591904,37.004999999999995,1
0.5,928.0,170.53500000000003,251.959,0.22076880465977933,37.995000000000005,1
0.5,933.0,158.575,281.9235,0.21560111208325655,40.41,1
0.5,923.0,175.95,266.806,0.21575056219533484,39.44,1
0.5,945.5,159.87,300.8995,0.21261993275132504,34.045,1
0.5,916.0,173.135,251.36950000000002,0.22131721698582504,34.085,1
0.5,937.5,166.14999999999998,306.3275,0.22020618013515159,37.5,1
0.5,900.5,180.75,272.012,0.21023688008036112,34.864999999999995,1
0.5,938.0,166.89999999999998,282.778,0.21237348086057206,40.605000000000004,1
0.5,955.5,153.095,268.07349999999997,0.20135405345841179,43.480000000000004,1
0.5,916.5,186.935,264.4175,0.23282958822575406,31.315,1
0.5,925.0,173.94,289.4405,0.21898196321711305,36.29,1
0.5,938.0,168.89,276.313,0.2105303150964144,34.525,1
0.5,943.0,157.3,270.6295,0.2038023056858806,37.955,1
0.5,937.5,166.14999999999998,306.3275,0.22020618013515159,37.5,1
0.5,937.5,159.20999999999998,248.279,0.19253097622174695,39.355000000000004,1
0.5,930.5,167.29000000000002,286.539,0.22040899783507384,38.5,1
0.5,942.0,159.14499999999998,266.177,0.1999142473601517,37.584999999999994,1
0.5,943.0,160.79500000000002,266.20050000000003,0.2045032494187633,40.825,1
0.5,932.5,174.56,290.196,0.2259184232376159,40.45,1
0.5,919.0,162.7,220.782,0.20913707591439235,34.775000000000006,1
0.5,943.0,156.185,271.77599999999995,0.2045438945517347,37.72,1
0.5,948.5,139.52,290.93949999999995,0.18693232267191573,43.394999999999996,1
0.5,920.0,190.275,278.2,0.21963323702999626,36.06,1
0.5,939.0,159.505,267.093,0.20095190704686766,36.905,1
0.5,940.5,179.855,280.20050000000003,0.22973775612327324,38.175,1
0.5,948.5,141.29,268.7655,0.1916082174901348,39.41,1
0.5,919.0,162.7,220.782,0.20913707591439235,34.775000000000006,1
0.5,925.5,180.595,295.6915,0.23148947147999877,40.455,1
0.5,948.5,137.555,257.9715,0.1824339993332572,37.385,1
0.5,962.0,124.815,258.549,0.17582178706977836,38.825,1
0.5,900.5,180.75,272.012,0.21023688008036112,34.864999999999995,1
0.5,936.5,163.76,285.0965,0.2114846291149568,35.355000000000004,1
0.5,942.0,150.85500000000002,275.4115,0.19598870006920976,38.83,1
0.5,943.0,160.79500000000002,266.20050000000003,0.2045032494187633,40.825,1
0.5,952.0,137.22,274.227,0.18422589227527675,39.955,1
0.5,925.5,176.445,300.60850000000005,0.21233748233659494,36.47,1
0.5,931.0,168.66500000000002,279.3655,0.21489409862701553,41.754999999999995,1
0.5,952.0,137.22,274.227,0.18422589227527675,39.955,1
0.5,919.0,162.7,220.782,0.20913707591439235,34.775000000000006,1
0.5,929.5,163.265,259.388,0.21016202060175498,38.965,1
0.5,937.0,150.14999999999998,257.5375,0.19964675145584976,34.864999999999995,1
0.5,920.5,165.33,245.0395,0.21301518614690274,39.53,1
0.5,912.0,174.97,228.32150000000001,0.2134257912288578,31.255000000000003,1
0.5,900.5,180.75,272.012,0.21023688008036112,34.864999999999995,1
0.5,918.5,173.35000000000002,286.591,0.21679578772650765,38.99,1
0.5,940.0,138.26,287.8485,0.18514693588236555,41.345,1
0.5,923.0,175.95,266.806,0.21575056219533484,39.44,1
0.5,913.5,175.94,266.9525,0.2139803182077082,34.78,1
0.5,932.5,174.56,290.196,0.2259184232376159,40.45,1
0.5,926.0,167.76,265.48699999999997,0.2089677324265296,37.709999999999994,1
0.5,955.5,153.095,268.07349999999997,0.20135405345841179,43.480000000000004,1
0.5,929.5,163.265,259.388,0.21016202060175498,38.965,1
0.5,939.0,159.505,267.093,0.20095190704686766,36.905,1
0.5,918.0,177.9,248.472,0.2091989239187654,37.955,1
0.5,912.0,174.71499999999997,263.1095,0.20481553507374,34.97,1
0.5,949.0,142.01,249.3155,0.20175707145261107,37.84,1
0.5,953.5,137.095,246.0085,0.1911242067242307,41.565,1
0.5,934.0,164.65499999999997,268.77049999999997,0.2023926311764095,37.455,5
0.5,936.0,159.685,275.7105,0.20928361618356725,39.635,5
0.5,935.0,161.28,263.868,0.20180463739520899,37.35,5
0.5,943.0,148.35500000000002,265.4885,0.1803602228480223,39.644999999999996,5
0.5,921.0,169.79000000000002,272.65999999999997,0.21042866709187125,38.125,5
0.5,932.0,151.255,261.467,0.18668925210246995,36.815,5
0.5,921.0,171.10500000000002,261.5185,0.21887310952826078,37.51,5
0.5,941.0,155.44,279.984,0.19799375325397084,40.185,5
0.5,945.0,147.20999999999998,262.351,0.1902366242912379,38.07,5
0.5,921.0,178.435,269.264,0.22219807743135575,38.575,5
0.5,935.0,169.15,259.608,0.20881090343214537,37.595,5
0.5,938.0,155.395,267.65549999999996,0.20276532956894944,39.055,5
0.5,936.0,155.765,270.87199999999996,0.196779854054492,38.72,5
0.5,947.0,137.18,265.2935,0.17964991589411278,38.975,5
0.5,932.0,165.115,259.8025,0.20643004341534849,38.415,5
0.5,933.0,166.89999999999998,281.0725,0.21350002144567254,38.835,5
0.5,952.0,136.95,265.8265,0.1789890862379338,39.845,5
0.5,937.0,160.125,280.953,0.208520228409117,38.28,5
0.5,928.0,166.535,277.563,0.2027853720005727,38.085,5
0.5,929.5,165.07999999999998,266.8705,0.20807714603823502,37.625,5
0.5,937.0,147.16500000000002,245.358,0.18383696923454318,38.025,5
0.5,932.0,162.34,270.05550000000005,0.20935110476340751,38.22,5
0.5,939.0,154.305,253.63299999999998,0.20024743155585412,37.754999999999995,5
0.5,942.0,153.695,260.9935,0.195269188389318,38.865,5
0.5,928.0,163.54500000000002,255.889,0.2048401968482976,38.269999999999996,5
0.5,940.0,157.555,285.9325,0.20553239656070627,39.519999999999996,5
0.5,936.0,165.05,275.831,0.21309147590434274,39.620000000000005,5
0.5,936.5,160.17000000000002,271.503,0.2005622017953274,39.08,5
0.5,936.0,154.14999999999998,269.0185,0.19976599849257753,38.519999999999996,5
0.5,938.0,156.85500000000002,262.65549999999996,0.2000966223185091,39.730000000000004,5
0.5,939.0,156.37,272.47,0.20128049338749884,36.475,5
0.5,935.0,159.375,273.1485,0.20721419967657476,39.08,5
0.5,939.0,152.66500000000002,282.258,0.19517727830519505,40.15,5
0.5,940.0,151.43,274.4415,0.19903176334619785,39.754999999999995,5
0.5,929.0,167.165,273.091,0.2149674689214115,37.97,5
0.5,929.0,158.53,247.3005,0.2082135328085408,36.47,5
0.5,940.0,156.47500000000002,278.819,0.2035026613491958,38.385000000000005,5
0.5,935.0,159.55,284.73699999999997,0.20503976078931174,37.775,5
0.5,937.0,150.03,259.8725,0.18592956860627724,38.325,5
0.5,925.0,182.47,293.69849999999997,0.21795320111483873,38.205,5
0.5,935.0,164.51999999999998,269.7695,0.20762479058908406,39.14,5
0.5,933.0,163.41500000000002,265.51800000000003,0.20627563689275635,38.57,5
0.5,939.0,155.625,281.6255,0.2052289372665269,38.82,5
0.5,931.0,164.98000000000002,259.18399999999997,0.21111969697227473,37.615,5
0.5,944.0,150.97,275.1165,0.19740134162850814,39.335,5
0.5,934.0,159.5,267.586,0.205889306859123,40.14,5
0.5,927.0,166.47,266.358,0.21117775197570585,37.760000000000005,5
0.5,935.0,159.83499999999998,276.307,0.2120907029091184,38.625,5
0.5,930.0,171.135,279.004,0.20606106772467664,37.515,5
0.5,946.0,143.435,259.9875,0.1833643999894578,39.375,5
0.5,928.5,165.35500000000002,260.3365,0.21199514016071486,38.075,5
0.5,928.0,170.415,272.525,0.21124753821254633,39.1,5
0.5,922.5,169.05,250.8295,0.20938086295736263,36.095,5
0.5,941.0,141.895,258.3935,0.1895938978149059,39.84,5
0.5,946.0,135.635,255.92649999999998,0.17869754884977818,40.09,5
0.5,934.0,154.815,259.7545,0.19928852314787526,37.75,5
0.5,931.0,162.21499999999997,260.812,0.2075610519703593,37.650000000000006,5
0.5,936.5,152.9,258.74,0.19461218783065531,39.364999999999995,5
0.5,939.0,153.245,282.079,0.19839601165975765,40.15,5
0.5,942.0,158.625,272.754,0.20436487318206095,38.745,5
0.5,940.0,156.755,283.8315,0.2002831648047998,37.510000000000005,5
0.5,933.0,165.70499999999998,262.993,0.20748200231675218,37.785,5
0.5,929.0,181.93,302.221,0.22772657008053954,39.2,5
0.5,934.0,157.42000000000002,262.30600000000004,0.19609292254867944,37.23,5
0.5,940.0,151.72,273.003,0.192422478100363,39.129999999999995,5
0.5,933.0,165.595,279.76,0.21356040398256865,39.02,5
0.5,941.0,146.92000000000002,261.502,0.1911496650771429,38.94,5
0.5,928.0,163.63,263.9135,0.20752720580500617,37.335,5
0.5,927.0,167.54000000000002,260.762,0.21283414550171909,37.535,5
0.5,931.0,163.45499999999998,273.491,0.19968312539935562,37.905,5
0.5,943.0,148.04,272.1165,0.1902723179694738,39.31,5
0.5,944.5,144.29500000000002,258.84000000000003,0.18588296192966186,38.665,5
0.5,928.0,171.59,277.1085,0.21553945818702086,38.325,5
0.5,932.0,154.57,258.7165,0.19272682778117745,38.215,5
0.5,937.0,153.605,266.7275,0.2005557434884262,38.629999999999995,5
0.5,941.0,153.43,266.31899999999996,0.19343135848218546,39.66,5
0.5,941.0,150.09,273.0865,0.19301978059750374,39.07,5
0.5,934.0,158.715,271.764,0.20462423737634944,39.095,5
0.5,942.0,152.97500000000002,281.023,0.1999651269412624,40.835,5
0.5,928.0,171.35500000000002,283.14300000000003,0.21123245857871736,39.099999999999994,5
0.5,938.0,151.2,271.431,0.1882372396657908,38.629999999999995,5
0.5,929.0,167.39999999999998,272.13699999999994,0.21490869533182871,37.57,5
0.5,946.5,145.715,259.22450000000003,0.18286731496783182,37.465,5
0.5,936.5,166.115,270.7045,0.21140498882882142,38.13,5
0.5,934.5,167.115,274.1305,0.2045359148338902,37.995000000000005,5
0.5,942.0,152.23000000000002,262.87850000000003,0.1883953679704956,38.18,5
0.5,929.0,170.55,282.071,0.20631488075285265,37.245000000000005,5
0.5,924.0,173.415,273.911,0.21894440204067395,38.114999999999995,5
0.5,931.5,169.54000000000002,289.9625,0.21421085572626755,38.004999999999995,5
0.5,940.0,157.82,291.11400000000003,0.2046194956140608,40.56,5
0.5,940.0,158.42000000000002,277.913,0.20176997174048816,37.865,5
0.5,943.0,154.995,281.18899999999996,0.19987510585971,40.405,5
0.5,932.0,165.255,282.658,0.20150800059726795,38.265,5
0.5,930.0,165.745,279.322,0.20468741185979944,39.82,5
0.5,918.0,172.245,249.3085,0.21489409862701553,36.335,5
0.5,933.0,163.26,258.15099999999995,0.207270040151658,37.35,5
0.5,942.0,156.685,272.91949999999997,0.2000753143806801,39.96,5
0.5,932.0,164.155,282.145,0.2048461452989586,37.585,5
0.5,934.0,159.87,263.2095,0.1972354207083616,37.515,5
0.5,938.0,155.59,266.0075,0.19707388320825975,39.07,5
0.5,929.0,164.43,269.07399999999996,0.20824609973835256,37.504999999999995,10
0.5,939.0,156.64999999999998,265.3535,0.20026196545932945,39.18,10
0.5,933.0,160.72500000000002,258.2635,0.1993187288736127,37.56,10
0.5,941.0,152.32,268.727,0.19634776295970754,38.58,10
0.5,935.0,157.60000000000002,264.4435,0.2048722448217363,37.305,10
0.5,929.0,169.47,269.1335,0.21293756974528244,37.245000000000005,10
0.5,933.0,168.38,271.365,0.2144141700742522,37.14,10
0.5,939.0,156.04500000000002,260.812,0.2017218481036644,38.83,10
0.5,943.5,150.265,273.2405,0.1946660463469475,39.245,10
0.5,935.0,159.135,275.78049999999996,0.2005760952497863,38.075,10
0.5,934.0,165.04,268.0325,0.20630232450343827,39.575,10
0.5,935.0,159.925,275.0885,0.20430015732167706,38.155,10
0.5,941.0,152.13,261.086,0.19579680425645496,38.52,10
0.5,940.0,155.3,277.7115,0.19499746948787106,38.415,10
0.5,935.0,163.34,273.85749999999996,0.2105232295867731,38.205,10
0.5,933.0,161.815,263.0815,0.19973922597997906,37.655,10
0.5,934.0,159.335,264.12,0.2009156748287667,37.92,10
0.5,935.0,162.765,277.447,0.20805434375169568,38.22,10
0.5,940.0,161.56,276.1635,0.2068215483126821,38.894999999999996,10
0.5,938.0,153.52499999999998,264.169,0.19143218195225475,38.09,10
0.5,929.5,166.695,273.1405,0.2073943476094806,38.269999999999996,10
0.5,943.0,153.07,278.39300000000003,0.19781638993068126,37.695,10
0.5,941.0,153.055,279.007,0.19424102817604205,39.365,10
0.5,939.0,159.84,275.59749999999997,0.20132862498215645,38.385000000000005,10
0.5,939.0,153.525,281.1935,0.19578744775238316,38.195,10
0.5,940.0,156.31,270.7865,0.20251150721557493,38.224999999999994,10
0.5,938.0,155.415,265.853,0.19648877230594175,38.08,10
0.5,931.0,164.495,263.34450000000004,0.20466804993307003,37.77,10
0.5,937.0,157.58499999999998,276.3795,0.20129465454669845,38.47,10
0.5,940.0,151.585,274.4415,0.19605226914587298,38.89,10
0.5,933.0,162.34,261.339,0.2032277255777169,38.405,10
0.5,942.5,147.64,262.6685,0.19238627035165218,38.195,10
0.5,937.0,162.695,271.249,0.20569310786649941,38.58,10
0.5,940.0,153.70499999999998,268.542,0.19478763182542108,38.905,10
0.5,932.0,161.23,268.48,0.20767310334106995,38.065,10
0.5,937.0,151.66500000000002,260.4695,0.193865816033032,38.335,10
0.5,932.0,159.8,271.946,0.20528247998468796,38.275,10
0.5,935.0,158.025,267.2265,0.20302568460798093,38.61,10
0.5,938.0,155.79,271.939,0.19844080496221334,39.49,10
0.5,947.0,146.85500000000002,262.594,0.19252808593094856,39.185,10
0.5,930.0,166.13,267.4575,0.20595538395905175,38.26,10
0.5,932.0,162.005,277.0825,0.20373074850306094,38.105000000000004,10
0.5,934.0,158.32,268.0505,0.19965362303973572,38.355000000000004,10
0.5,931.0,170.385,277.7115,0.21440002059427976,37.685,10
0.5,947.0,147.685,270.062,0.1896815520038383,38.705,10
0.5,935.0,160.175,258.356,0.20549239452854406,37.535,10
0.5,928.0,169.985,277.66499999999996,0.2095701829255195,38.34,10
0.5,934.0,160.22,269.067,0.2019044945945333,38.375,10
0.5,934.0,165.49,275.44849999999997,0.20812241416812016,38.57,10
0.5,931.0,165.505,262.76800000000003,0.2119380650380986,37.92,10
0.5,937.0,157.39999999999998,276.272,0.2027589870750976,39.235,10
0.5,939.0,164.87,277.9565,0.20640080082525025,39.25,10
0.5,941.5,151.78,266.826,0.1922934291007596,39.45,10
0.5,934.0,159.01,258.22749999999996,0.20096713394006885,37.065,10
0.5,941.0,156.35000000000002,272.168,0.2024898671991936,38.235,10
0.5,931.0,166.20499999999998,266.3385,0.20949100667522505,37.4,10
0.5,931.0,166.125,278.79150000000004,0.21038853779208735,37.885000000000005,10
0.5,940.5,151.92000000000002,265.8875,0.19478533111990232,38.9,10
0.5,943.0,157.385,283.09400000000005,0.20452643258785058,39.425,10
0.5,937.0,155.48000000000002,263.22249999999997,0.2006956786792572,37.24,10
0.5,940.0,157.515,272.3595,0.20087379789066528,39.595,10
0.5,935.0,164.425,275.4355,0.20723901652322319,39.23,10
0.5,940.0,153.285,269.4285,0.19552391048708867,39.06,10
0.5,928.0,162.54,261.6575,0.20405522157683786,38.91,10
0.5,940.0,155.055,270.81600000000003,0.19884247679696565,38.114999999999995,10
0.5,938.0,160.255,261.3595,0.19980649739240036,38.629999999999995,10
0.5,934.0,165.255,271.008,0.2061754979622806,37.69,10
0.5,938.0,158.265,268.4355,0.1977533444254992,38.945,10
0.5,936.0,157.55,267.26250000000005,0.2008823898198211,38.66,10
0.5,937.0,156.435,258.9755,0.20258449574737547,38.275000000000006,10
0.5,932.0,166.04500000000002,273.106,0.20556299744167605,37.44,10
0.5,933.0,169.85500000000002,287.438,0.21085999865944385,38.995000000000005,10
0.5,935.0,158.105,269.822,0.20051790044130405,37.989999999999995,10
0.5,931.0,165.505,272.152,0.20798650125446339,37.82,10
0.5,936.0,156.25,264.082,0.19981287444582685,37.66,10
0.5,938.0,156.755,268.6275,0.20155363105159407,39.215,10
0.5,936.0,158.82999999999998,266.39099999999996,0.2069966490607853,39.065,10
0.5,936.0,157.60000000000002,274.706,0.2015655686300959,37.745000000000005,10
0.5,939.0,157.435,269.36699999999996,0.20898334184771133,39.120000000000005,10
0.5,944.0,153.85,274.802,0.1971758932873318,40.095,10
0.5,932.5,167.245,268.142,0.20868455651238393,36.995000000000005,10
0.5,937.0,157.815,268.7025,0.2028521640923785,38.695,10
0.5,939.0,156.315,268.246,0.1956684936978581,39.68,10
0.5,939.0,150.39,266.83050000000003,0.1961858071593712,38.475,10
0.5,932.0,161.36,265.7635,0.19849168266823045,37.400000000000006,10
0.5,936.0,161.695,272.807,0.20534645714522615,38.22,10
0.5,943.0,155.595,274.387,0.2005274892214167,39.980000000000004,10
0.5,938.5,160.005,271.13800000000003,0.20640356246450475,38.92,10
0.5,939.0,156.86,261.3215,0.19930710092233767,38.685,10
0.5,931.0,167.21499999999997,277.1655,0.21194332385162315,37.435,10
0.5,937.0,159.115,269.321,0.203207616821491,38.235,10
0.5,941.0,155.135,274.3655,0.1991751498166896,39.459999999999994,10
0.5,935.0,162.575,282.4645,0.20181620458626431,37.745000000000005,10
0.5,935.0,152.33499999999998,258.3875,0.19652813757261933,38.224999999999994,10
0.5,941.0,152.215,262.8,0.19734407401091342,39.41,10
0.5,934.0,154.565,255.84699999999998,0.20050071668347969,37.81,10
0.5,946.0,143.45499999999998,266.22950000000003,0.18679421451744174,39.855000000000004,10
0.5,942.0,150.99,268.7345,0.200306432358408,37.69,10
0.5,943.0,149.82999999999998,257.0845,0.19044713248956424,39.07,10
0.5,936.0,163.04000000000002,283.70500000000004,0.20582201315939946,38.34,10
0.5,944.0,151.73,272.9225,0.19176635548389065,38.9,15
0.5,931.0,159.78,260.2425,0.1990717626189425,37.730000000000004,15
0.5,940.0,152.89,266.97249999999997,0.19778344197940934,38.31,15
0.5,930.0,166.375,273.50649999999996,0.20820615730751918,38.55,15
0.5,934.0,163.27499999999998,273.7875,0.20563805951559605,38.504999999999995,15
0.5,932.0,163.75,267.4305,0.20620911081479348,37.445,15
0.5,932.0,165.22,267.9475,0.20571136283641078,38.004999999999995,15
0.5,933.0,164.79000000000002,267.62850000000003,0.20358459084704672,37.86,15
0.5,932.0,164.81,268.31100000000004,0.2087536372138419,38.35,15
0.5,933.5,157.47,262.4935,0.19962994452065855,38.474999999999994,15
0.5,941.0,151.11,265.39,0.1955761382385299,39.075,15
0.5,938.0,161.905,274.5955,0.20411481812476714,37.835,15
0.5,934.0,163.16,267.77750000000003,0.2083626507286312,37.705,15
0.5,937.0,157.025,272.496,0.20029022972305444,38.47,15
0.5,939.0,155.505,266.06,0.1966360872537155,37.96,15
0.5,934.0,165.02499999999998,275.9045,0.2087697745238435,39.135000000000005,15
0.5,929.0,170.125,272.127,0.2143495512811978,37.64,15
0.5,931.0,169.925,273.139,0.21445083205739204,37.96,15
0.5,930.5,165.415,263.1085,0.2082318775198453,37.33,15
0.5,930.0,162.04000000000002,262.85850000000005,0.20488035281930855,37.295,15
0.5,939.0,154.28,264.4415,0.19459739580226426,38.915,15
0.5,929.0,169.835,275.767,0.2157689953050336,37.585,15
0.5,938.0,152.75,263.1485,0.19625044459012891,37.935,15
0.5,938.0,155.27499999999998,266.647,0.19769029066344646,39.055,15
0.5,937.0,158.03,272.85450000000003,0.2039157922550697,38.345,15
0.5,940.0,152.57,266.19100000000003,0.19624363565103325,38.64,15
0.5,940.0,155.22,268.25149999999996,0.1984676121835457,38.525000000000006,15
0.5,937.0,153.3,260.512,0.20041438685223917,37.56,15
0.5,938.0,160.44,277.879,0.20709899852846975,38.28,15
0.5,937.0,158.09,272.2375,0.2014845744292377,37.315,15
0.5,942.0,150.17000000000002,266.9285,0.19159017297264685,38.91,15
0.5,932.0,170.275,272.3755,0.21370876150602544,38.74,15
0.5,939.0,152.51,259.0045,0.1922389292437821,37.629999999999995,15
0.5,933.0,162.735,270.0045,0.20542652761400731,37.42,15
0.5,939.0,157.11,272.42650000000003,0.2009395857429721,38.94,15
0.5,933.0,163.315,265.7795,0.2078193039699853,38.245000000000005,15
0.5,932.5,165.445,269.36249999999995,0.20890718008585216,38.394999999999996,15
0.5,932.0,163.18,267.047,0.20447267427267746,37.87,15
0.5,937.0,154.185,267.093,0.19556951811446205,38.59,15
0.5,937.5,156.665,264.5825,0.19995213375682253,37.870000000000005,15
0.5,930.0,167.04000000000002,267.68399999999997,0.208555208958354,37.825,15
0.5,939.0,158.285,274.75199999999995,0.2065552717468881,38.28,15
0.5,933.0,165.83,275.1925,0.21040888866805324,38.879999999999995,15
0.5,941.0,153.61,272.70950000000005,0.1944614473116745,38.765,15
0.5,940.5,152.925,266.4935,0.1905034570039536,38.91,15
0.5,934.0,162.765,274.53499999999997,0.20644191329576478,38.875,15
0.5,938.0,158.04,273.0285,0.20255556756891446,39.12,15
0.5,934.5,163.615,265.0105,0.2087971501771832,38.245000000000005,15
0.5,937.0,155.475,266.56550000000004,0.1999137449699377,38.370000000000005,15
0.5,929.0,166.535,272.058,0.20813701922943795,38.095,15
