,0.1,0.25,0.5,0.75,0.9
1,18.66,22.73,37.92,53.62,65.24
2,17.87,24.38,37.07,52.64,67.97
3,17.74,24.15,37.29,52.36,67.69
4,17.4,23.43,36.48,51.15,68.11
5,17.85,23.62,37.1,52.28,70.61
6,18.0,23.62,37.37,52.49,70.28
7,18.15,23.91,37.53,52.67,70.28
8,18.31,24.17,37.76,53.15,71.35
9,18.39,24.05,37.8,52.94,70.45
10,18.47,24.26,37.99,53.42,71.3
11,18.27,24.1,37.55,53.01,70.38
12,18.39,24.35,37.92,53.32,70.69
13,18.59,24.64,38.47,53.94,71.71
14,18.7,24.84,38.47,54.25,72.28
15,18.69,24.92,38.5,54.28,72.02
16,18.87,25.01,38.65,54.64,72.45
17,18.83,25.1,38.7,54.67,72.43
18,18.83,25.21,38.7,54.76,72.72
19,18.92,25.25,38.61,54.77,73.01
20,18.95,25.09,38.61,54.69,72.29
21,18.98,25.28,38.84,54.9,73.06
22,18.96,25.16,38.75,54.75,72.84
23,18.96,25.25,38.74,54.72,73.01
24,18.95,25.26,38.78,54.69,72.8
25,18.98,25.3,38.78,54.72,72.9
26,18.95,25.12,38.59,54.54,72.43
27,18.98,25.12,38.62,54.55,72.27
28,18.89,25.2,38.56,54.55,72.49
29,18.88,25.16,38.56,54.54,72.29
30,18.95,25.18,38.74,54.62,72.48
31,18.87,25.17,38.69,54.6,72.48
32,18.86,25.13,38.6,54.55,72.27
33,18.83,25.19,38.58,54.63,72.61
34,18.83,25.28,38.56,54.72,72.93
35,18.84,25.26,38.53,54.68,72.9
36,18.83,25.3,38.54,54.71,72.82
37,18.81,25.19,38.46,54.62,72.5
38,18.86,25.25,38.53,54.74,72.76
39,18.84,25.25,38.51,54.71,72.74
40,18.86,25.21,38.57,54.74,72.74
41,18.9,25.19,38.61,54.75,72.7
42,18.86,25.25,38.6,54.75,72.7
43,18.87,25.34,38.64,54.83,73.0
44,18.83,25.26,38.56,54.74,72.9
45,18.8,25.29,38.56,54.74,72.9
46,18.83,25.26,38.57,54.75,72.81
47,18.83,25.24,38.56,54.74,72.63
48,18.81,25.29,38.54,54.77,72.8
49,18.78,25.25,38.52,54.69,72.66
50,18.74,25.28,38.46,54.66,72.81
51,18.76,25.29,38.47,54.71,72.81
52,18.73,25.24,38.44,54.63,72.75
53,18.69,25.19,38.38,54.53,72.57
54,18.67,25.17,38.33,54.47,72.48
55,18.68,25.19,38.37,54.48,72.51
56,18.73,25.19,38.44,54.54,72.51
57,18.7,25.17,38.38,54.47,72.47
58,18.69,25.17,38.38,54.47,72.49
59,18.7,25.18,38.38,54.45,72.48
60,18.67,25.13,38.32,54.36,72.31
61,18.69,25.16,38.36,54.43,72.42
62,18.67,25.17,38.34,54.45,72.47
63,18.71,25.13,38.36,54.48,72.33
64,18.69,25.12,38.34,54.45,72.38
65,18.68,25.13,38.36,54.48,72.47
66,18.73,25.18,38.45,54.58,72.54
67,18.74,25.17,38.44,54.54,72.47
68,18.75,25.19,38.46,54.59,72.53
69,18.74,25.21,38.45,54.57,72.59
70,18.72,25.23,38.44,54.57,72.69
71,18.7,25.21,38.39,54.51,72.61
72,18.75,25.21,38.44,54.56,72.57
73,18.73,25.23,38.45,54.6,72.69
74,18.69,25.17,38.38,54.53,72.6
75,18.7,25.21,38.44,54.59,72.8
76,18.67,25.18,38.38,54.54,72.69
77,18.66,25.17,38.38,54.53,72.63
78,18.65,25.19,38.38,54.55,72.76
79,18.68,25.23,38.42,54.61,72.76
80,18.69,25.23,38.42,54.62,72.74
81,18.67,25.26,38.38,54.62,72.84
82,18.67,25.27,38.37,54.61,72.9
83,18.67,25.28,38.36,54.6,72.9
84,18.66,25.3,38.36,54.62,72.97
85,18.67,25.3,38.37,54.65,72.95
86,18.68,25.32,38.39,54.69,72.97
87,18.69,25.29,38.38,54.68,72.9
88,18.69,25.29,38.35,54.64,72.81
89,18.71,25.27,38.37,54.64,72.7
90,18.74,25.26,38.39,54.67,72.69
91,18.7,25.23,38.35,54.58,72.53
92,18.67,25.18,38.31,54.53,72.51
93,18.7,25.19,38.33,54.59,72.55
94,18.69,25.23,38.33,54.62,72.69
95,18.67,25.23,38.29,54.59,72.69
96,18.65,25.21,38.26,54.54,72.59
97,18.65,25.23,38.26,54.57,72.7
98,18.65,25.19,38.25,54.54,72.67
99,18.67,25.23,38.31,54.63,72.79
100,18.65,25.19,38.27,54.58,72.72
