,0.1,0.25,0.5,0.75,0.9
1,132.85,161.01,276.88,373.77,456.72
2,136.12,164.25,273.75,376.92,477.27
3,129.56,167.72,272.21,384.72,523.23
4,127.07,170.42,272.06,376.84,526.37
5,126.81,174.26,268.61,388.04,543.75
6,128.02,175.35,272.79,385.5,542.49
7,129.4,175.3,275.41,383.87,537.48
8,129.2,179.69,274.7,385.48,541.77
9,128.25,176.38,272.24,380.62,534.82
10,127.11,177.66,270.04,378.99,533.98
11,124.96,175.42,267.43,377.92,529.13
12,126.0,176.24,268.58,379.25,526.32
13,124.96,175.23,266.77,376.51,521.27
14,124.53,175.22,264.76,375.62,519.57
15,124.76,175.02,264.76,374.91,514.81
16,125.32,176.09,268.61,376.84,515.45
17,125.79,176.01,268.92,377.23,513.22
18,124.98,176.17,267.86,375.48,513.22
19,125.33,176.38,267.31,375.88,516.74
20,126.57,176.19,268.58,376.8,513.47
21,126.53,177.21,268.69,378.12,515.39
22,126.47,176.32,266.77,376.45,512.13
23,125.92,175.61,265.86,374.39,511.54
24,125.63,176.05,265.27,373.76,509.93
25,125.38,175.09,264.29,372.86,507.75
26,125.3,174.17,262.91,371.64,504.24
27,125.32,174.9,262.85,371.88,503.76
28,124.96,174.26,262.42,370.64,503.35
29,124.82,174.63,262.85,370.62,503.25
30,125.26,174.91,263.21,370.89,503.84
31,124.98,175.03,263.24,371.14,505.02
32,125.63,175.45,265.08,372.8,505.23
33,125.52,175.48,264.73,373.17,507.01
34,126.0,175.58,264.96,373.5,506.8
35,125.59,174.91,263.45,372.58,506.41
36,125.84,175.08,263.47,372.87,504.88
37,125.89,174.22,262.94,372.28,503.62
38,126.16,174.65,263.16,372.91,504.38
39,126.28,174.27,263.27,372.71,503.76
40,126.41,175.08,264.32,373.92,506.8
41,126.58,175.22,264.86,374.52,507.46
42,126.26,175.67,265.05,375.51,509.22
43,126.73,175.31,265.56,375.49,507.91
44,127.16,174.93,265.58,375.27,507.51
45,126.97,174.45,265.46,374.7,507.01
46,127.14,174.33,265.34,373.99,505.95
47,127.18,174.93,265.37,375.49,507.68
48,126.82,175.28,265.29,375.45,507.8
49,126.79,175.5,265.29,375.58,508.0
50,126.94,175.46,265.22,375.45,507.77
51,127.31,175.94,265.67,376.23,507.91
52,127.75,175.89,266.95,376.88,507.88
53,127.67,176.2,266.77,377.02,508.47
54,127.58,176.32,266.77,377.02,508.66
55,127.92,176.81,267.68,378.48,511.16
56,127.72,177.05,267.68,378.9,512.4
57,127.72,177.21,268.18,379.09,512.49
58,127.92,176.96,268.36,378.92,510.4
59,128.07,177.46,268.61,379.86,512.48
60,128.43,177.87,269.02,380.51,513.28
61,128.25,177.7,268.59,380.14,512.77
62,128.07,177.63,268.54,380.14,512.78
63,128.08,177.58,268.56,380.1,512.78
64,127.86,177.31,268.27,379.51,512.77
65,127.94,177.86,268.53,380.14,513.59
66,128.07,178.07,268.53,380.77,514.3
67,128.43,178.55,269.88,382.62,515.37
68,128.35,178.65,269.9,382.59,515.73
69,128.23,178.9,269.88,382.58,516.37
70,128.29,178.82,270.32,382.66,515.98
71,128.45,178.86,270.52,382.96,515.46
72,128.6,178.94,270.92,383.25,515.33
73,128.62,179.06,271.18,383.57,515.57
74,128.53,179.04,271.11,383.49,515.72
75,128.38,178.96,270.9,383.29,515.76
76,128.18,178.58,270.04,382.81,515.46
77,127.97,178.34,269.73,382.18,514.98
78,127.8,178.38,269.66,382.18,515.13
79,127.94,178.39,269.84,382.34,514.84
80,127.85,178.18,269.59,381.81,514.33
81,127.96,178.35,269.69,381.84,514.65
82,127.98,178.34,269.5,381.74,514.71
83,127.94,178.08,269.26,380.95,513.82
84,127.91,178.06,269.02,380.83,513.94
85,128.04,177.83,269.26,380.86,513.02
86,128.1,177.95,269.48,381.23,513.25
87,127.91,177.72,269.08,380.59,512.76
88,127.78,178.01,269.15,380.95,513.28
89,127.98,177.98,269.3,380.92,513.25
90,128.1,177.94,269.44,380.92,513.21
91,128.07,177.86,269.39,380.82,512.87
92,127.85,177.49,268.92,380.33,512.28
93,127.91,177.49,268.82,380.27,512.32
94,127.91,177.46,268.81,380.16,512.48
95,127.71,177.23,268.49,379.95,512.48
96,127.91,177.46,268.74,380.17,512.48
97,127.96,177.65,268.95,380.51,513.02
98,127.96,177.45,268.87,380.28,512.87
99,128.15,177.83,269.22,380.82,513.28
100,127.98,177.49,269.04,380.54,513.23
