,0.1,0.25,0.5,0.75,0.9
1,0.08,0.13,0.2,0.27,0.33
2,0.08,0.13,0.21,0.28,0.34
3,0.08,0.13,0.21,0.29,0.34
4,0.08,0.13,0.21,0.29,0.34
5,0.08,0.13,0.2,0.28,0.34
6,0.08,0.13,0.21,0.29,0.34
7,0.08,0.13,0.21,0.29,0.34
8,0.08,0.13,0.21,0.29,0.34
9,0.09,0.14,0.21,0.29,0.34
10,0.08,0.13,0.21,0.29,0.34
11,0.08,0.13,0.21,0.29,0.35
12,0.08,0.13,0.21,0.29,0.35
13,0.08,0.13,0.2,0.28,0.34
14,0.08,0.12,0.2,0.28,0.34
15,0.08,0.12,0.2,0.28,0.34
16,0.08,0.12,0.2,0.28,0.34
17,0.08,0.12,0.2,0.28,0.34
18,0.08,0.12,0.2,0.28,0.34
19,0.07,0.12,0.2,0.28,0.34
20,0.08,0.12,0.2,0.28,0.34
21,0.07,0.12,0.2,0.28,0.33
22,0.07,0.12,0.2,0.28,0.33
23,0.07,0.12,0.2,0.28,0.33
24,0.07,0.12,0.2,0.28,0.33
25,0.07,0.12,0.2,0.28,0.33
26,0.07,0.12,0.2,0.28,0.33
27,0.07,0.12,0.2,0.28,0.33
28,0.07,0.12,0.2,0.28,0.33
29,0.07,0.12,0.2,0.28,0.33
30,0.07,0.12,0.2,0.28,0.33
31,0.07,0.12,0.2,0.28,0.33
32,0.07,0.12,0.2,0.28,0.33
33,0.07,0.12,0.2,0.28,0.33
34,0.07,0.12,0.2,0.28,0.33
35,0.07,0.12,0.2,0.28,0.33
36,0.07,0.12,0.2,0.28,0.33
37,0.07,0.12,0.2,0.28,0.33
38,0.07,0.12,0.2,0.28,0.33
39,0.07,0.12,0.2,0.28,0.33
40,0.07,0.12,0.2,0.28,0.33
41,0.07,0.12,0.2,0.28,0.33
42,0.07,0.12,0.2,0.28,0.33
43,0.07,0.12,0.2,0.28,0.33
44,0.07,0.12,0.2,0.28,0.33
45,0.07,0.12,0.2,0.28,0.33
46,0.07,0.12,0.2,0.28,0.33
47,0.07,0.12,0.2,0.28,0.33
48,0.07,0.12,0.2,0.28,0.33
49,0.07,0.12,0.2,0.28,0.33
50,0.07,0.12,0.2,0.28,0.33
51,0.08,0.12,0.2,0.28,0.33
52,0.08,0.12,0.2,0.28,0.34
53,0.08,0.12,0.2,0.28,0.34
54,0.08,0.12,0.2,0.28,0.34
55,0.08,0.12,0.2,0.28,0.34
56,0.08,0.12,0.2,0.28,0.34
57,0.08,0.13,0.2,0.28,0.34
58,0.08,0.13,0.2,0.28,0.34
59,0.08,0.13,0.2,0.28,0.34
60,0.08,0.13,0.2,0.28,0.34
61,0.08,0.13,0.2,0.28,0.34
62,0.08,0.13,0.2,0.28,0.34
63,0.08,0.13,0.2,0.28,0.34
64,0.08,0.13,0.2,0.28,0.34
65,0.08,0.13,0.2,0.28,0.34
66,0.08,0.13,0.2,0.28,0.34
67,0.08,0.13,0.2,0.28,0.34
68,0.08,0.13,0.2,0.28,0.34
69,0.08,0.13,0.2,0.28,0.34
70,0.08,0.13,0.2,0.28,0.34
71,0.08,0.13,0.2,0.28,0.34
72,0.08,0.13,0.2,0.28,0.34
73,0.08,0.13,0.2,0.28,0.34
74,0.08,0.13,0.21,0.28,0.34
75,0.08,0.13,0.2,0.28,0.34
76,0.08,0.13,0.2,0.28,0.34
77,0.08,0.13,0.2,0.28,0.34
78,0.08,0.13,0.2,0.28,0.34
79,0.08,0.13,0.2,0.28,0.34
80,0.08,0.13,0.2,0.28,0.34
81,0.08,0.13,0.2,0.28,0.34
82,0.08,0.13,0.2,0.28,0.34
83,0.08,0.13,0.2,0.28,0.34
84,0.08,0.13,0.2,0.28,0.34
85,0.08,0.13,0.2,0.28,0.34
86,0.08,0.13,0.2,0.28,0.34
87,0.08,0.13,0.2,0.28,0.34
88,0.08,0.13,0.2,0.28,0.34
89,0.08,0.13,0.2,0.28,0.34
90,0.08,0.13,0.2,0.28,0.34
91,0.08,0.13,0.2,0.28,0.34
92,0.08,0.13,0.2,0.28,0.34
93,0.08,0.13,0.2,0.28,0.34
94,0.08,0.13,0.2,0.28,0.34
95,0.08,0.13,0.2,0.28,0.34
96,0.08,0.13,0.2,0.28,0.34
97,0.08,0.13,0.2,0.28,0.34
98,0.08,0.13,0.2,0.28,0.34
99,0.08,0.13,0.2,0.28,0.34
100,0.08,0.13,0.2,0.28,0.34
