,0.1,0.25,0.5,0.75,0.9
1,731.6,840.0,936.5,978.0,988.0
2,725.8,834.0,923.0,975.0,986.1
3,719.0,828.0,923.0,974.0,986.0
4,716.0,826.0,923.0,975.0,987.0
5,725.8,831.0,928.5,976.0,987.0
6,717.9,830.0,926.0,974.0,986.0
7,718.0,828.0,925.0,974.0,986.0
8,721.0,830.0,927.0,974.0,985.0
9,718.0,827.0,927.0,974.0,985.0
10,718.9,828.0,928.0,974.0,985.0
11,711.0,823.0,926.0,974.0,985.0
12,715.0,827.0,929.0,975.0,986.0
13,718.0,831.0,930.0,976.0,987.0
14,721.0,834.0,931.0,976.0,987.0
15,720.0,833.0,931.0,976.0,987.0
16,720.0,833.0,931.0,976.0,987.0
17,722.9,834.0,932.0,976.0,987.0
18,726.0,837.0,933.0,976.0,987.0
19,730.0,839.0,934.0,977.0,987.0
20,730.0,839.0,934.0,977.0,987.0
21,734.0,843.0,936.0,977.0,987.0
22,734.0,842.0,935.0,977.0,987.0
23,733.0,841.0,935.0,977.0,987.0
24,732.0,841.0,934.0,977.0,987.0
25,733.0,841.75,935.0,977.0,987.0
26,731.0,841.0,934.0,977.0,987.0
27,731.0,841.0,934.0,977.0,987.0
28,730.0,841.0,934.0,977.0,987.0
29,730.0,841.0,935.0,977.0,987.0
30,732.0,842.0,936.0,977.0,987.0
31,732.0,841.0,936.0,977.0,987.0
32,732.9,842.0,936.0,977.0,987.0
33,731.9,842.0,936.0,977.0,987.0
34,731.0,841.0,936.0,977.0,987.0
35,730.0,841.0,935.0,977.0,987.0
36,731.0,841.0,935.0,977.0,987.0
37,729.0,840.0,934.0,977.0,987.0
38,731.0,841.0,935.0,977.0,987.0
39,732.0,842.0,935.0,977.0,987.0
40,733.0,842.0,936.0,977.0,987.0
41,735.0,842.0,936.0,977.0,987.0
42,735.0,842.75,936.0,977.0,987.0
43,735.0,843.0,936.0,977.0,988.0
44,734.0,842.0,936.0,977.0,987.0
45,733.0,842.0,936.0,977.0,987.0
46,733.0,842.0,936.0,977.0,987.0
47,734.0,842.0,936.0,977.0,987.0
48,734.0,843.0,937.0,977.0,987.0
49,732.0,842.0,936.0,977.0,987.0
50,731.0,841.0,936.0,977.0,987.0
51,730.0,841.0,935.0,977.0,987.0
52,729.0,840.0,935.0,977.0,987.0
53,728.0,840.0,935.0,976.0,987.0
54,727.0,839.0,934.0,976.0,987.0
55,728.0,839.0,935.0,976.0,987.0
56,728.9,840.0,935.0,976.0,987.0
57,727.0,838.0,934.0,976.0,987.0
58,726.0,838.0,934.0,976.0,987.0
59,726.0,838.0,934.0,976.0,987.0
60,725.0,838.0,934.0,976.0,987.0
61,725.0,838.0,934.0,976.0,987.0
62,725.0,838.0,934.0,976.0,987.0
63,726.0,839.0,935.0,976.0,987.0
64,725.0,838.0,934.0,976.0,987.0
65,725.0,838.0,934.5,976.0,987.0
66,726.0,839.0,935.0,976.0,987.0
67,725.0,838.0,934.5,976.0,986.0
68,726.0,839.0,935.0,976.0,987.0
69,726.0,839.0,935.0,976.0,987.0
70,726.0,838.0,935.0,976.0,987.0
71,726.0,839.0,935.0,976.0,987.0
72,726.0,839.0,935.0,976.0,987.0
73,726.0,839.0,935.0,976.0,987.0
74,726.0,838.0,935.0,976.0,986.0
75,727.0,839.0,935.0,976.0,987.0
76,726.0,839.0,935.0,976.0,987.0
77,726.0,838.0,935.0,976.0,987.0
78,727.0,839.0,935.0,976.0,987.0
79,727.0,839.0,935.0,976.0,987.0
80,727.9,839.0,935.0,976.0,987.0
81,728.0,839.0,935.0,976.0,987.0
82,728.0,840.0,935.0,976.0,987.0
83,728.0,840.0,935.0,976.0,987.0
84,728.0,840.0,935.0,976.0,987.0
85,728.0,840.0,935.0,976.0,987.0
86,728.0,840.0,935.0,976.0,987.0
87,728.0,840.0,935.0,976.0,987.0
88,728.0,840.0,935.0,976.0,987.0
89,728.0,840.0,935.0,976.0,987.0
90,728.0,840.0,935.0,976.0,987.0
91,728.0,840.0,935.0,976.0,987.0
92,727.0,839.0,935.0,976.0,987.0
93,727.0,839.0,935.0,976.0,987.0
94,727.0,840.0,935.0,976.0,987.0
95,727.0,839.0,935.0,976.0,987.0
96,727.0,840.0,935.0,976.0,987.0
97,727.0,840.0,935.0,976.0,987.0
98,727.0,840.0,935.0,976.0,987.0
99,728.0,840.0,935.0,976.0,987.0
100,727.0,839.0,935.0,976.0,987.0
