,0.1,0.25,0.5,0.75,0.9
1,62.26,93.53,147.66,258.85,363.41
2,65.99,103.27,165.35,262.36,356.96
3,68.58,106.74,166.5,264.18,360.26
4,65.5,102.69,166.87,268.34,356.96
5,65.38,101.64,163.38,262.68,356.96
6,67.94,104.99,166.2,263.47,362.79
7,70.48,105.36,166.89,265.98,366.21
8,73.48,107.64,166.87,263.65,359.56
9,74.12,107.42,166.98,266.5,361.61
10,71.94,107.32,166.5,264.84,358.02
11,71.02,107.46,168.42,268.2,364.47
12,68.2,104.54,165.64,265.45,361.88
13,65.38,101.74,162.11,262.68,357.92
14,63.58,99.77,159.66,260.31,355.16
15,64.62,100.24,160.8,261.58,356.08
16,64.69,100.06,161.24,262.19,358.35
17,64.98,99.74,160.6,261.65,357.1
18,64.18,97.9,158.8,259.78,354.97
19,63.97,97.35,157.98,257.5,353.57
20,64.94,97.93,158.21,257.7,353.61
21,64.41,97.35,157.2,255.66,351.43
22,63.97,97.23,157.27,255.52,350.86
23,63.27,96.81,157.05,255.66,350.91
24,63.97,97.02,157.27,255.59,350.83
25,63.54,96.0,156.27,254.04,349.95
26,63.5,95.66,156.6,254.04,349.74
27,63.94,96.65,156.81,254.67,349.79
28,63.94,96.38,156.53,253.92,349.49
29,63.61,95.54,156.32,253.66,350.31
30,63.27,95.01,155.64,252.7,349.14
31,62.94,94.59,154.99,252.64,349.25
32,63.69,95.16,155.56,252.82,349.49
33,63.94,95.01,155.62,253.51,349.79
34,63.94,95.06,155.99,254.52,350.62
35,63.97,95.13,156.06,254.47,350.13
36,64.11,95.37,156.06,254.06,349.74
37,64.66,96.4,157.12,255.47,350.44
38,64.52,95.85,156.64,254.87,350.23
39,64.1,95.48,156.15,254.3,349.48
40,64.11,95.48,156.29,254.6,349.19
41,64.23,95.44,156.0,253.7,348.78
42,64.52,95.58,156.01,253.58,348.78
43,63.86,95.06,155.78,253.39,348.98
44,64.02,95.53,156.0,253.54,349.03
45,64.41,96.16,156.22,253.74,349.17
46,64.52,96.06,156.0,253.58,349.33
47,64.98,96.58,156.05,253.74,349.24
48,65.14,96.62,155.86,253.54,349.66
49,65.38,97.22,156.5,254.06,350.58
50,65.28,97.23,156.7,254.7,350.89
51,65.39,97.58,157.1,255.35,351.6
52,65.42,97.87,157.36,255.63,352.23
53,65.5,97.93,157.62,256.18,352.65
54,65.87,98.39,158.26,256.79,353.0
55,66.24,98.64,158.23,256.44,352.3
56,66.43,98.8,158.23,256.44,352.08
57,66.94,99.58,159.67,257.53,353.57
58,66.43,99.24,159.66,257.62,353.68
59,66.88,99.84,160.23,257.83,354.35
60,67.05,100.43,160.83,258.56,355.06
61,66.99,100.05,160.49,258.36,354.92
62,67.05,100.0,160.44,258.28,354.92
63,67.3,99.95,160.17,257.83,354.45
64,67.3,100.06,160.56,258.46,354.69
65,67.52,100.34,160.56,258.63,354.92
66,67.81,100.62,160.39,257.9,354.35
67,68.12,101.2,161.44,258.96,355.12
68,67.92,100.91,161.06,258.61,355.16
69,67.78,100.77,161.05,258.74,355.24
70,67.89,100.79,161.2,259.07,355.47
71,67.96,100.82,161.25,259.27,355.77
72,68.11,100.94,161.41,259.44,355.88
73,68.19,101.12,161.57,259.57,355.84
74,68.25,101.39,161.89,259.76,356.22
75,67.73,100.83,161.24,259.37,355.57
76,67.72,100.79,161.24,259.17,355.66
77,67.73,100.77,161.43,259.28,355.95
78,67.44,100.45,160.85,258.77,355.45
79,67.71,100.57,161.01,258.57,355.26
80,67.7,100.45,160.96,258.39,355.24
81,67.72,100.51,161.05,258.38,355.23
82,67.45,100.27,160.82,258.02,355.02
83,67.15,99.96,160.56,257.76,354.62
84,67.17,99.95,160.56,257.74,354.76
85,67.15,99.94,160.55,257.66,354.59
86,67.17,100.05,160.57,257.74,354.97
87,66.97,99.73,160.36,257.52,354.59
88,67.09,99.91,160.6,257.58,354.69
89,67.06,99.78,160.44,257.19,354.38
90,67.05,99.82,160.46,257.33,354.66
91,67.05,99.91,160.58,257.55,354.91
92,67.0,99.83,160.67,257.72,355.15
93,67.06,99.77,160.48,257.58,355.06
94,67.02,99.64,160.26,257.38,355.12
95,67.05,99.67,160.25,257.24,355.16
96,67.05,99.61,160.24,257.2,355.17
97,66.98,99.48,160.21,257.17,355.24
98,67.01,99.57,160.38,257.42,355.46
99,67.02,99.66,160.44,257.52,355.34
100,67.15,99.78,160.56,257.7,355.51
