,0.1,0.25,0.5,0.75,0.9
1,24.8,32.09,49.78,69.87,90.86
2,23.21,33.14,49.01,69.21,94.91
3,23.25,33.14,49.72,68.3,93.34
4,22.51,32.58,48.38,67.65,93.05
5,23.07,32.98,49.08,68.47,94.3
6,23.51,33.18,49.98,69.1,94.34
7,23.63,33.55,50.18,69.44,95.15
8,23.8,33.96,50.32,69.9,96.15
9,23.91,33.61,50.34,69.62,95.32
10,24.04,34.03,50.67,70.3,96.51
11,23.91,33.91,50.65,69.83,94.8
12,23.89,34.15,50.94,69.95,95.44
13,24.17,34.55,51.47,70.8,96.96
14,24.23,34.75,51.4,70.97,97.51
15,24.23,34.84,51.52,71.02,97.41
16,24.41,35.08,51.6,71.2,97.91
17,24.35,35.23,51.53,71.32,98.2
18,24.33,35.32,51.59,71.45,98.29
19,24.38,35.32,51.57,71.33,98.28
20,24.48,35.13,51.58,71.28,97.68
21,24.49,35.41,51.6,71.52,98.49
22,24.55,35.32,51.75,71.45,98.2
23,24.48,35.36,51.6,71.45,98.32
24,24.45,35.35,51.58,71.51,98.56
25,24.48,35.4,51.59,71.65,98.56
26,24.41,35.16,51.47,71.42,98.06
27,24.47,35.12,51.49,71.49,97.92
28,24.35,35.18,51.4,71.51,98.31
29,24.35,35.09,51.43,71.4,98.0
30,24.42,35.09,51.58,71.5,97.92
31,24.36,35.09,51.52,71.4,97.9
32,24.33,35.07,51.47,71.38,97.74
33,24.31,35.15,51.47,71.45,97.98
34,24.34,35.22,51.45,71.54,98.32
35,24.38,35.2,51.48,71.47,98.02
36,24.33,35.24,51.4,71.46,98.15
37,24.31,35.12,51.34,71.35,97.79
38,24.38,35.25,51.37,71.5,98.08
39,24.35,35.25,51.38,71.46,98.0
40,24.39,35.23,51.42,71.46,97.91
41,24.42,35.21,51.49,71.46,97.82
42,24.35,35.18,51.47,71.46,97.92
43,24.35,35.31,51.5,71.59,98.16
44,24.29,35.24,51.4,71.49,98.18
45,24.27,35.28,51.48,71.5,98.32
46,24.29,35.27,51.52,71.49,98.19
47,24.3,35.22,51.47,71.45,97.97
48,24.27,35.28,51.47,71.45,98.06
49,24.26,35.23,51.39,71.38,98.06
50,24.19,35.23,51.38,71.39,98.1
51,24.2,35.25,51.48,71.39,98.28
52,24.18,35.21,51.39,71.33,98.08
53,24.11,35.1,51.28,71.28,97.92
54,24.08,35.09,51.23,71.25,97.97
55,24.08,35.12,51.23,71.28,98.03
56,24.16,35.12,51.32,71.35,97.98
57,24.12,35.1,51.27,71.32,97.97
58,24.09,35.1,51.31,71.31,97.96
59,24.11,35.1,51.38,71.29,97.79
60,24.08,35.07,51.28,71.2,97.56
61,24.11,35.08,51.34,71.29,97.67
62,24.08,35.09,51.32,71.31,97.84
63,24.13,35.08,51.32,71.31,97.67
64,24.09,35.09,51.3,71.28,97.68
65,24.1,35.1,51.32,71.29,97.67
66,24.17,35.12,51.43,71.4,97.92
67,24.18,35.12,51.41,71.36,97.81
68,24.18,35.17,51.39,71.39,97.97
69,24.18,35.21,51.4,71.42,97.98
70,24.16,35.23,51.32,71.45,98.16
71,24.13,35.15,51.23,71.4,98.15
72,24.18,35.15,51.33,71.49,98.02
73,24.16,35.18,51.32,71.47,98.15
74,24.11,35.09,51.24,71.41,97.98
75,24.11,35.14,51.26,71.45,98.06
76,24.09,35.1,51.23,71.36,97.92
77,24.09,35.1,51.26,71.35,97.98
78,24.09,35.14,51.25,71.34,97.99
79,24.1,35.2,51.28,71.42,98.2
80,24.11,35.21,51.3,71.42,98.18
81,24.1,35.21,51.27,71.41,98.29
82,24.09,35.2,51.26,71.39,98.32
83,24.08,35.21,51.26,71.37,98.37
84,24.08,35.23,51.2,71.42,98.49
85,24.1,35.24,51.23,71.42,98.56
86,24.11,35.31,51.23,71.45,98.59
87,24.13,35.28,51.24,71.39,98.52
88,24.11,35.26,51.2,71.39,98.47
89,24.14,35.23,51.2,71.4,98.4
90,24.17,35.23,51.27,71.46,98.32
91,24.14,35.19,51.24,71.42,98.17
92,24.1,35.13,51.1,71.37,98.09
93,24.13,35.16,51.12,71.44,98.26
94,24.11,35.18,51.14,71.49,98.35
95,24.09,35.16,51.06,71.46,98.32
96,24.08,35.12,50.97,71.4,98.19
97,24.08,35.14,50.95,71.42,98.31
98,24.06,35.14,50.95,71.4,98.22
99,24.09,35.17,51.05,71.49,98.38
100,24.08,35.15,51.03,71.46,98.33
