,0.1,0.25,0.5,0.75,0.9
1,179.07,245.79,352.29,486.19,653.18
2,176.09,244.84,359.95,502.44,671.63
3,171.16,248.72,363.35,509.87,676.77
4,165.01,247.09,361.77,504.63,687.62
5,164.47,252.15,361.77,516.52,710.27
6,167.15,253.77,361.77,517.12,712.14
7,168.44,254.64,363.65,512.43,710.55
8,167.44,257.42,363.83,517.7,719.72
9,166.78,253.49,362.66,508.67,707.53
10,165.46,253.52,361.8,507.84,707.58
11,164.95,251.15,358.87,506.01,705.18
12,165.46,251.37,360.03,505.21,700.02
13,164.52,248.49,357.57,501.24,689.82
14,164.18,246.32,352.09,498.95,689.53
15,164.17,246.32,352.43,496.44,686.46
16,164.88,246.79,358.78,498.88,688.33
17,165.38,247.2,358.39,498.76,686.44
18,164.68,246.09,356.58,497.0,683.87
19,165.02,246.86,355.86,497.0,686.18
20,166.15,246.18,358.47,498.59,686.1
21,166.01,247.53,357.71,499.17,692.07
22,166.23,246.93,357.28,497.02,686.1
23,165.68,246.05,355.99,495.31,682.62
24,165.09,245.72,353.71,496.68,686.44
25,164.8,244.75,351.79,493.95,681.97
26,164.72,244.13,350.99,492.24,677.21
27,164.83,244.55,350.93,492.78,679.46
28,164.44,243.9,350.24,491.27,678.13
29,164.18,244.0,350.44,490.62,679.03
30,164.52,244.17,350.68,490.37,679.14
31,164.45,244.55,350.32,490.09,679.68
32,165.08,245.07,352.09,492.34,681.66
33,165.31,245.2,351.79,492.68,682.62
34,165.76,244.93,351.96,493.22,682.2
35,165.38,244.53,351.0,492.34,680.4
36,165.16,244.79,350.68,492.36,680.84
37,165.12,244.32,350.87,490.77,679.22
38,165.31,244.82,350.44,491.43,680.65
39,165.51,244.56,350.68,491.2,679.22
40,165.53,245.09,351.99,493.5,682.17
41,165.74,245.25,352.79,494.69,683.23
42,165.32,245.16,352.58,496.04,686.64
43,165.74,244.79,353.16,495.89,683.86
44,166.29,244.68,353.62,495.92,683.73
45,165.94,244.61,353.21,495.14,683.65
46,165.8,244.56,353.68,494.46,683.01
47,166.09,245.04,353.24,495.65,684.67
48,165.76,245.36,353.62,495.31,685.76
49,165.86,245.81,353.11,495.85,687.28
50,166.09,245.87,354.15,495.85,686.28
51,166.77,246.2,355.72,496.98,687.45
52,167.36,246.51,357.39,498.42,687.36
53,167.1,246.77,357.36,498.88,688.98
54,166.9,247.04,357.93,499.21,690.77
55,167.4,247.87,358.8,500.92,692.96
56,167.19,248.15,358.68,501.87,694.97
57,167.19,248.27,359.32,502.89,695.87
58,167.63,248.03,360.26,502.74,693.55
59,167.88,248.39,360.71,503.93,695.04
60,168.31,248.62,361.12,505.0,696.61
61,168.12,248.46,360.71,504.62,695.95
62,168.01,248.48,360.73,504.67,696.42
63,168.12,248.63,360.64,504.28,696.38
64,167.92,248.55,360.41,503.57,695.72
65,168.0,248.87,360.61,504.58,697.33
66,168.19,249.07,360.68,505.0,698.27
67,168.74,249.62,362.54,507.14,700.47
68,168.74,249.76,362.33,507.01,701.1
69,168.46,249.96,362.52,506.91,702.3
70,168.65,249.96,363.39,507.11,700.61
71,168.99,250.23,363.47,507.23,700.96
72,169.23,250.55,363.67,507.37,701.58
73,169.28,250.62,363.69,507.58,702.39
74,169.22,250.62,363.91,507.58,702.3
75,169.06,250.09,363.51,507.21,700.61
76,168.76,249.58,362.55,506.65,699.88
77,168.45,249.19,362.19,506.01,699.23
78,168.36,249.22,361.82,505.73,698.87
79,168.45,249.58,361.86,505.88,699.52
80,168.38,249.2,361.75,505.29,698.23
81,168.45,249.51,361.85,505.35,698.67
82,168.38,249.35,361.82,504.96,698.47
83,168.35,249.03,361.67,504.62,697.34
84,168.36,248.97,361.28,504.64,697.38
85,168.73,248.82,361.73,504.63,696.36
86,168.83,248.95,361.8,504.94,696.72
87,168.6,248.82,361.42,504.54,695.86
88,168.39,248.93,361.54,504.8,697.05
89,168.61,248.97,361.54,504.86,696.74
90,168.73,248.98,361.75,504.87,696.24
91,168.74,248.89,361.73,504.74,696.17
92,168.48,248.65,361.19,504.32,695.04
93,168.39,248.63,361.19,504.06,695.2
94,168.49,248.61,361.17,503.81,694.85
95,168.31,248.53,360.58,503.42,694.65
96,168.51,248.63,361.01,503.54,694.42
97,168.75,248.88,361.0,503.94,695.04
98,168.65,248.82,361.16,503.74,694.87
99,168.96,248.94,361.75,504.64,695.59
100,168.78,248.87,361.38,504.5,695.62
