,0.1,0.25,0.5,0.75,0.9
1,0.11,0.17,0.25,0.32,0.37
2,0.11,0.17,0.25,0.33,0.38
3,0.12,0.18,0.25,0.33,0.38
4,0.12,0.17,0.25,0.33,0.38
5,0.11,0.17,0.25,0.32,0.38
6,0.12,0.18,0.25,0.33,0.38
7,0.12,0.18,0.26,0.33,0.38
8,0.12,0.18,0.26,0.33,0.38
9,0.12,0.18,0.26,0.33,0.38
10,0.12,0.17,0.26,0.33,0.38
11,0.12,0.18,0.26,0.33,0.38
12,0.11,0.17,0.26,0.33,0.38
13,0.11,0.17,0.25,0.33,0.38
14,0.11,0.17,0.25,0.33,0.38
15,0.11,0.17,0.25,0.33,0.38
16,0.11,0.17,0.25,0.33,0.38
17,0.11,0.17,0.25,0.33,0.38
18,0.11,0.17,0.25,0.32,0.37
19,0.11,0.17,0.25,0.32,0.37
20,0.11,0.17,0.25,0.32,0.37
21,0.11,0.17,0.25,0.32,0.37
22,0.11,0.17,0.25,0.32,0.37
23,0.11,0.17,0.25,0.32,0.37
24,0.11,0.17,0.25,0.32,0.37
25,0.11,0.17,0.25,0.32,0.37
26,0.11,0.17,0.25,0.32,0.37
27,0.11,0.17,0.25,0.32,0.37
28,0.11,0.17,0.25,0.32,0.37
29,0.11,0.17,0.25,0.32,0.37
30,0.11,0.17,0.25,0.32,0.37
31,0.11,0.17,0.25,0.32,0.37
32,0.11,0.17,0.25,0.32,0.37
33,0.11,0.17,0.25,0.32,0.37
34,0.11,0.17,0.25,0.32,0.37
35,0.11,0.17,0.25,0.32,0.37
36,0.11,0.17,0.25,0.32,0.37
37,0.11,0.17,0.25,0.32,0.37
38,0.11,0.17,0.25,0.32,0.37
39,0.11,0.17,0.25,0.32,0.37
40,0.11,0.17,0.25,0.32,0.37
41,0.11,0.17,0.25,0.32,0.37
42,0.11,0.17,0.25,0.32,0.37
43,0.11,0.17,0.25,0.32,0.37
44,0.11,0.17,0.25,0.32,0.37
45,0.11,0.17,0.25,0.32,0.37
46,0.11,0.17,0.25,0.32,0.37
47,0.11,0.17,0.25,0.32,0.37
48,0.11,0.17,0.25,0.32,0.37
49,0.11,0.17,0.25,0.32,0.37
50,0.11,0.17,0.25,0.32,0.37
51,0.11,0.17,0.25,0.32,0.37
52,0.11,0.17,0.25,0.32,0.37
53,0.11,0.17,0.25,0.32,0.37
54,0.11,0.17,0.25,0.32,0.38
55,0.11,0.17,0.25,0.32,0.37
56,0.11,0.17,0.25,0.32,0.37
57,0.11,0.17,0.25,0.32,0.38
58,0.11,0.17,0.25,0.32,0.38
59,0.11,0.17,0.25,0.33,0.38
60,0.11,0.17,0.25,0.33,0.38
61,0.11,0.17,0.25,0.33,0.38
62,0.11,0.17,0.25,0.33,0.38
63,0.11,0.17,0.25,0.32,0.38
64,0.11,0.17,0.25,0.33,0.38
65,0.11,0.17,0.25,0.33,0.38
66,0.11,0.17,0.25,0.33,0.38
67,0.11,0.17,0.25,0.33,0.38
68,0.11,0.17,0.25,0.33,0.38
69,0.11,0.17,0.25,0.33,0.38
70,0.11,0.17,0.25,0.33,0.38
71,0.11,0.17,0.25,0.33,0.38
72,0.11,0.17,0.25,0.33,0.38
73,0.11,0.17,0.25,0.33,0.38
74,0.11,0.17,0.25,0.33,0.38
75,0.11,0.17,0.25,0.33,0.38
76,0.11,0.17,0.25,0.33,0.38
77,0.11,0.17,0.25,0.33,0.38
78,0.11,0.17,0.25,0.33,0.38
79,0.11,0.17,0.25,0.33,0.38
80,0.11,0.17,0.25,0.33,0.38
81,0.11,0.17,0.25,0.33,0.38
82,0.11,0.17,0.25,0.33,0.38
83,0.11,0.17,0.25,0.33,0.38
84,0.11,0.17,0.25,0.33,0.38
85,0.11,0.17,0.25,0.33,0.38
86,0.11,0.17,0.25,0.33,0.38
87,0.11,0.17,0.25,0.33,0.38
88,0.11,0.17,0.25,0.33,0.38
89,0.11,0.17,0.25,0.33,0.38
90,0.11,0.17,0.25,0.33,0.38
91,0.11,0.17,0.25,0.33,0.38
92,0.11,0.17,0.25,0.33,0.38
93,0.11,0.17,0.25,0.33,0.38
94,0.11,0.17,0.25,0.33,0.38
95,0.11,0.17,0.25,0.33,0.38
96,0.11,0.17,0.25,0.33,0.38
97,0.11,0.17,0.25,0.33,0.38
98,0.11,0.17,0.25,0.33,0.38
99,0.11,0.17,0.25,0.33,0.38
100,0.11,0.17,0.25,0.33,0.38
