,0.1,0.25,0.5,0.75,0.9
1,738.0,797.75,886.0,945.0,974.1
2,724.9,790.75,872.0,939.0,971.0
3,723.0,787.0,873.5,939.0,969.0
4,714.9,785.0,875.0,939.0,970.0
5,723.0,793.0,879.5,941.0,970.0
6,719.9,792.75,879.0,939.0,969.0
7,716.0,792.0,878.0,939.0,968.0
8,720.9,795.0,880.0,939.0,968.0
9,720.0,794.0,878.0,938.0,968.0
10,720.0,795.0,878.0,939.0,969.0
11,716.0,792.0,877.0,938.0,968.0
12,718.0,795.0,878.5,939.0,968.0
13,718.0,795.0,880.0,940.0,969.0
14,720.9,797.0,881.0,941.0,970.0
15,719.0,795.0,880.0,940.0,970.0
16,718.0,795.75,880.0,940.0,970.0
17,719.0,797.0,881.0,941.0,971.0
18,721.0,798.0,882.0,941.25,971.0
19,724.0,800.0,883.0,942.0,971.0
20,723.0,800.0,883.0,942.0,971.0
21,725.0,802.0,884.0,943.0,972.0
22,725.0,802.0,884.0,942.0,972.0
23,724.0,801.0,884.0,942.0,972.0
24,723.0,800.0,883.0,942.0,972.0
25,724.0,801.0,883.0,942.0,972.0
26,723.0,801.0,883.0,942.0,972.0
27,723.0,800.0,882.0,942.0,972.0
28,723.0,800.0,882.0,942.0,972.0
29,723.0,799.0,882.0,942.0,972.0
30,724.0,800.0,883.0,942.0,972.0
31,724.0,800.0,883.0,942.0,972.0
32,725.0,800.75,882.5,942.0,972.0
33,724.0,800.0,882.0,942.0,973.0
34,724.0,799.0,882.0,942.0,973.0
35,723.0,799.0,882.0,942.0,973.0
36,723.0,799.0,882.0,942.0,973.0
37,722.0,799.0,882.0,942.0,972.0
38,723.0,799.0,882.0,942.0,973.0
39,724.0,800.0,883.0,942.0,973.0
40,725.0,800.0,883.0,942.0,973.0
41,725.0,800.0,883.0,942.0,973.0
42,725.0,800.0,883.0,942.0,973.0
43,726.0,800.0,883.0,942.0,973.0
44,726.0,800.0,883.0,942.0,973.0
45,725.0,800.0,883.0,942.0,972.0
46,725.0,800.0,883.0,942.0,972.0
47,725.0,800.0,883.0,942.0,972.0
48,725.0,800.0,883.0,942.0,972.0
49,725.0,800.0,883.0,942.0,972.0
50,725.0,799.0,882.0,942.0,972.0
51,724.0,799.0,882.0,942.0,972.0
52,724.0,798.0,882.0,942.0,972.0
53,723.0,798.0,882.0,941.0,972.0
54,722.0,797.0,881.0,941.0,972.0
55,723.0,798.0,881.0,941.0,972.0
56,723.0,798.0,881.0,942.0,972.0
57,722.0,798.0,881.0,941.0,972.0
58,722.0,797.0,881.0,941.0,972.0
59,721.0,797.0,881.0,941.0,972.0
60,721.0,797.0,880.0,941.0,972.0
61,721.0,797.0,881.0,941.0,972.0
62,721.0,797.0,881.0,941.0,972.0
63,722.0,798.0,881.0,941.0,972.0
64,721.0,797.0,881.0,941.0,972.0
65,721.0,798.0,881.0,941.0,972.0
66,722.0,798.0,881.0,941.0,972.0
67,721.0,798.0,881.0,941.0,972.0
68,722.0,798.0,881.0,941.0,972.0
69,722.0,798.0,881.0,941.0,972.0
70,721.0,798.0,881.0,941.0,972.0
71,721.0,797.0,881.0,941.0,972.0
72,722.0,798.0,881.0,941.0,972.0
73,722.0,798.0,881.0,941.0,972.0
74,721.0,798.0,881.0,941.0,972.0
75,722.0,798.0,881.0,941.0,972.0
76,722.0,798.0,881.0,941.0,972.0
77,721.0,797.0,881.0,941.0,972.0
78,722.0,798.0,881.0,942.0,972.0
79,722.0,798.0,881.0,942.0,972.0
80,722.0,798.0,881.0,941.25,972.0
81,722.0,798.0,881.0,942.0,972.0
82,723.0,799.0,881.0,942.0,972.0
83,723.0,799.0,881.0,942.0,972.0
84,722.0,799.0,881.0,942.0,972.0
85,722.9,799.0,881.0,942.0,972.0
86,723.0,799.0,881.0,942.0,972.0
87,723.0,799.0,881.0,942.0,972.0
88,723.0,798.0,881.0,942.0,972.0
89,723.0,799.0,881.0,942.0,972.0
90,723.0,799.0,881.0,942.0,972.0
91,723.0,798.75,881.0,942.0,972.0
92,722.0,798.0,881.0,941.0,972.0
93,722.0,798.0,881.0,942.0,972.0
94,722.0,798.0,881.0,942.0,972.0
95,722.0,798.0,881.0,942.0,972.0
96,722.0,798.0,882.0,942.0,972.0
97,722.0,798.0,882.0,942.0,972.0
98,722.0,798.0,882.0,942.0,972.0
99,722.0,798.0,882.0,942.0,972.0
100,722.0,798.0,882.0,942.0,972.0
