,0.1,0.25,0.5,0.75,0.9
1,146.51,230.82,370.02,533.4,618.28
2,159.1,240.75,385.4,527.64,618.92
3,168.48,245.6,383.88,524.85,617.35
4,162.57,241.76,381.64,527.68,623.1
5,162.06,240.51,375.3,519.82,619.66
6,166.54,242.99,377.16,520.36,621.33
7,167.96,245.74,379.46,522.54,621.9
8,170.61,248.0,379.61,518.9,619.66
9,170.61,248.25,382.06,518.23,619.28
10,168.16,247.35,380.92,518.47,617.82
11,170.73,250.58,382.5,520.92,620.2
12,168.6,247.27,377.92,517.47,618.92
13,164.77,242.37,373.16,515.91,617.3
14,161.43,240.41,370.48,512.96,614.96
15,162.23,241.17,372.56,515.7,617.05
16,161.39,241.24,373.03,517.15,618.71
17,160.76,241.31,371.92,515.69,617.42
18,158.33,240.2,369.62,512.98,614.96
19,158.05,238.65,367.48,511.82,613.44
20,158.21,239.4,368.48,511.82,612.99
21,156.76,237.66,366.53,510.42,610.57
22,156.8,238.0,366.66,509.03,610.06
23,155.49,237.78,366.76,510.26,610.52
24,155.16,237.66,367.38,510.88,610.6
25,154.81,237.42,366.78,508.97,609.48
26,154.67,237.54,367.01,508.97,609.77
27,155.49,238.55,367.4,509.11,609.44
28,155.11,238.72,367.48,509.87,609.48
29,154.76,238.51,368.38,510.12,609.48
30,154.29,237.68,366.62,509.13,608.86
31,153.89,237.64,366.44,508.82,608.23
32,154.0,237.54,367.32,508.97,608.87
33,153.88,237.92,367.47,509.2,608.76
34,153.88,238.17,368.15,510.68,609.94
35,153.71,237.86,367.44,510.42,610.42
36,153.9,238.17,367.5,510.05,610.38
37,154.9,239.16,368.68,511.1,611.07
38,154.61,238.61,367.48,510.94,610.57
39,154.47,237.86,366.49,510.35,609.75
40,154.81,237.9,366.36,510.82,609.67
41,154.68,237.3,366.13,510.29,609.52
42,154.93,237.68,366.34,510.85,609.87
43,154.38,237.57,365.96,510.53,609.56
44,154.9,238.01,366.4,510.53,609.32
45,155.58,238.4,366.62,510.88,609.77
46,155.43,238.44,366.49,510.7,609.93
47,155.59,238.59,366.66,510.42,609.77
48,155.47,238.53,366.49,510.2,609.75
49,156.2,239.38,367.46,510.84,610.19
50,156.15,239.29,367.76,511.26,610.46
51,156.36,239.42,368.67,512.12,612.16
52,156.65,239.92,369.22,512.57,612.66
53,156.66,240.27,369.26,512.73,612.79
54,156.9,240.6,369.95,513.28,613.33
55,157.08,240.63,369.75,512.68,613.02
56,157.78,240.71,369.82,512.83,612.94
57,158.5,241.63,370.94,514.16,613.88
58,158.25,241.72,371.05,514.02,613.88
59,158.85,241.95,371.76,514.42,614.19
60,159.29,242.4,372.6,515.04,615.01
61,158.95,242.0,372.18,514.59,614.6
62,158.83,241.93,372.06,514.62,614.69
63,158.72,241.83,371.56,514.31,614.42
64,158.84,241.95,371.76,514.62,614.85
65,158.97,241.98,371.92,514.51,614.82
66,159.08,241.84,371.35,514.3,614.6
67,159.72,243.04,372.78,515.34,615.93
68,159.29,242.52,372.4,515.16,615.88
69,159.09,242.28,372.61,515.46,616.26
70,159.36,242.59,372.91,515.74,616.68
71,159.12,242.32,373.04,516.04,617.08
72,159.44,242.36,373.06,516.04,617.33
73,159.8,242.7,373.12,515.92,617.17
74,159.97,243.01,373.4,516.25,617.66
75,159.41,242.28,372.55,515.79,617.22
76,159.4,242.21,372.43,515.62,617.05
77,159.47,242.38,372.84,515.87,617.22
78,159.11,241.99,372.02,515.34,616.91
79,159.27,242.0,372.12,515.23,616.61
80,159.25,242.26,372.06,514.75,616.43
81,159.18,242.04,371.94,514.5,616.19
82,158.83,241.92,371.8,514.16,616.08
83,158.47,241.77,371.48,513.98,615.75
84,158.26,241.7,371.54,514.16,615.95
85,158.18,241.7,371.62,514.16,615.57
86,158.27,241.83,371.83,514.3,615.59
87,158.23,241.51,371.54,513.81,615.08
88,158.37,241.84,371.8,514.07,615.13
89,158.34,241.76,371.54,513.87,614.98
90,158.34,241.9,371.76,513.96,614.93
91,158.35,241.93,371.8,514.14,614.94
92,158.39,242.08,372.08,514.32,615.01
93,158.33,241.95,371.9,514.3,614.82
94,158.03,241.76,371.66,514.29,614.69
95,158.15,241.81,371.66,514.48,614.63
96,158.13,241.77,371.48,514.25,614.55
97,158.03,241.65,371.34,514.12,614.45
98,158.05,241.73,371.4,514.25,614.7
99,158.09,241.56,371.28,514.41,614.78
100,158.31,241.84,371.56,514.5,615.04
