,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort,seed
0,936.0,325.93,625.512,0.18894586104951958,99.43,577747
1,932.0,360.26,784.706,0.12882252758082205,102.65,577747
2,883.0,552.14,523.154,0.18474377494677183,63.27,577747
3,904.0,501.9,485.592,0.2939201573922705,74.37,577747
4,686.0,896.62,170.988,0.2040733626292661,23.38,577747
5,936.0,362.14,712.824,0.23871133173672968,94.73,577747
6,898.0,508.81,483.052,0.26212720346470836,61.57,577747
7,842.0,667.46,268.259,0.2592351068318693,35.11,577747
8,804.0,723.45,310.026,0.15061468476258505,50.78,577747
9,763.0,856.78,181.55,0.3979869848156182,24.99,577747
10,874.0,592.81,497.563,0.27255096540850404,72.06,577747
11,894.0,527.47,470.02,0.31071791890713557,60.4,577747
12,848.0,641.82,317.657,0.25784221760999787,47.62,577747
13,838.0,676.65,222.281,0.2577919846016361,33.79,577747
14,787.0,727.11,322.546,0.14393289143541924,47.35,577747
15,743.0,859.96,195.551,0.2895333826312557,27.5,577747
16,772.0,784.88,300.709,0.2194910748195974,40.48,577747
17,881.0,589.74,499.23,0.3368589766220195,58.56,577747
18,881.0,589.62,488.004,0.29732246220195063,66.94,577747
19,828.0,704.49,227.859,0.30678871711418493,39.23,577747
20,850.0,659.51,330.451,0.27217955518095754,47.84,577747
21,897.0,502.62,455.318,0.17225306762711692,77.21,577747
22,704.0,846.89,159.919,0.21303933120125682,22.6,577747
23,751.0,861.3,183.7,0.39805803844741033,22.65,577747
24,824.0,735.64,300.497,0.36477522101699167,38.26,577747
25,933.0,371.65,734.155,0.23903763488896168,93.69,577747
26,830.0,718.61,335.666,0.35335727008000906,40.19,577747
27,675.0,874.22,273.674,0.11774168943375816,39.34,577747
28,772.0,787.78,147.875,0.30012026794579555,22.27,577747
29,916.0,464.73,816.383,0.3140730151320652,87.98,577747
30,855.0,645.07,346.956,0.2236391257259571,50.28,577747
31,911.0,415.95,710.587,0.08881051118011128,95.57,577747
32,842.0,704.16,283.369,0.35642542953656225,32.17,577747
33,932.0,348.58,662.621,0.20795733543922526,100.69,577747
34,889.0,546.97,551.356,0.1948941556024321,73.28,577747
35,764.0,834.9,192.478,0.3384770129041755,25.63,577747
36,873.0,599.13,457.351,0.30956617226599464,67.31,577747
37,769.0,804.95,148.112,0.36135962845796593,23.6,577747
38,930.0,360.01,606.618,0.25697483602517923,106.13,577747
39,917.0,456.7,798.069,0.26149747466138057,105.93,577747
40,768.0,771.01,298.162,0.19105710117745128,40.44,577747
41,778.0,832.77,178.601,0.3854313210412958,24.92,577747
42,880.0,544.43,495.571,0.14673396185441176,71.31,577747
43,773.0,804.95,165.482,0.335800510821347,21.43,577747
44,857.0,619.98,428.255,0.3579601688581874,60.69,577747
45,842.0,678.97,255.04,0.3165152938720117,40.07,577747
46,877.0,569.99,447.966,0.3340938485460596,62.31,577747
47,829.0,727.12,267.51,0.3642321273734873,37.46,577747
48,872.0,588.35,522.781,0.1255799874921826,74.22,577747
49,836.0,682.76,267.944,0.34555174016704404,45.63,577747
50,646.0,961.4,240.328,0.22973539523016662,30.57,577747
51,850.0,638.47,310.372,0.2396135265700483,49.15,577747
52,769.0,849.47,180.798,0.40141932270916336,25.14,577747
53,937.0,354.32,748.869,0.20170979482462106,95.29,577747
54,837.0,690.08,260.249,0.32068148337923524,35.82,577747
55,934.0,350.92,647.979,0.09759955930424119,100.7,577747
56,614.0,937.45,183.658,0.11031662083068895,25.89,577747
57,848.0,644.9,283.208,0.2875869293865906,44.19,577747
58,883.0,546.19,542.988,0.20025647899263166,65.99,577747
59,931.0,381.81,742.366,0.24297509562345498,89.11,577747
60,873.0,601.53,534.973,0.35492560287326835,67.06,577747
61,841.0,686.19,262.361,0.3285832066575632,38.44,577747
62,864.0,579.99,485.098,0.11603822807697274,69.39,577747
63,897.0,503.79,410.711,0.27562246756626146,72.08,577747
64,901.0,521.03,466.136,0.31038464618812206,61.2,577747
65,925.0,375.12,685.657,0.08692477727912117,116.96,577747
66,842.0,698.27,316.344,0.3528497521484079,45.3,577747
67,850.0,678.57,329.841,0.3168990193865888,43.07,577747
68,895.0,529.41,517.916,0.2339625259548151,65.33,577747
69,845.0,676.63,258.976,0.3147102564771571,32.88,577747
70,890.0,535.63,575.545,0.21208062243807121,61.47,577747
71,849.0,679.1,349.533,0.3113793175039274,50.21,577747
72,830.0,723.54,327.067,0.3484875489238535,42.13,577747
73,842.0,678.06,251.088,0.293363479186062,34.91,577747
74,847.0,662.7,340.773,0.2698385082406278,41.31,577747
75,767.0,824.79,175.761,0.3659172925619413,24.73,577747
76,843.0,672.88,267.206,0.3044786984062117,34.8,577747
77,863.0,626.31,508.901,0.31156812083376895,62.95,577747
78,704.0,858.07,176.831,0.2673248818503745,27.21,577747
79,892.0,536.06,519.298,0.22281122958509447,71.5,577747
80,855.0,616.17,562.272,0.15288213195585817,66.69,577747
81,915.0,439.64,776.964,0.2647639737316764,94.78,577747
82,808.0,720.8,279.456,0.2445586016750767,35.69,577747
83,882.0,568.72,476.288,0.27912428621284385,61.99,577747
