,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort,n_seeds
0.5,940.5,179.855,280.20050000000003,0.22973775612327324,38.175,1
0.5,953.0,145.22,259.651,0.1717051206221923,37.945,1
0.5,945.0,157.435,302.3945,0.19948085289809195,41.26,1
0.5,922.5,159.72,248.0455,0.19448078774591904,37.004999999999995,1
0.5,947.0,144.485,260.11249999999995,0.18288123136344955,38.8,1
0.5,913.5,175.94,266.9525,0.2139803182077082,34.78,1
0.5,929.5,166.075,255.023,0.22745238081450264,39.5,1
0.5,923.5,169.5,268.438,0.19911014111602154,32.905,1
0.5,956.0,117.13,240.776,0.170339483729592,43.535,1
0.5,946.5,130.15,243.452,0.17136197221405103,37.77,1
0.5,962.0,124.815,258.549,0.17582178706977836,38.825,1
0.5,915.5,187.0,290.557,0.2483103640417074,35.144999999999996,1
0.5,937.0,168.54000000000002,313.335,0.2107408702133507,42.265,1
0.5,940.5,151.73,276.9065,0.1963149685735355,39.224999999999994,1
0.5,913.5,175.94,266.9525,0.2139803182077082,34.78,1
0.5,893.5,192.18,237.7645,0.2292459025517948,34.055,1
0.5,926.0,167.76,265.48699999999997,0.2089677324265296,37.709999999999994,1
0.5,920.5,165.33,245.0395,0.21301518614690274,39.53,1
0.5,937.5,159.20999999999998,248.279,0.19253097622174695,39.355000000000004,1
0.5,929.5,166.075,255.023,0.22745238081450264,39.5,1
0.5,953.5,137.095,246.0085,0.1911242067242307,41.565,1
0.5,943.0,160.79500000000002,266.20050000000003,0.2045032494187633,40.825,1
0.5,921.5,174.54500000000002,272.514,0.2046142439151099,37.215,1
0.5,918.0,177.9,248.472,0.2091989239187654,37.955,1
0.5,925.5,180.595,295.6915,0.23148947147999877,40.455,1
0.5,917.0,180.175,254.784,0.22536257860287517,35.545,1
0.5,926.0,167.76,265.48699999999997,0.2089677324265296,37.709999999999994,1
0.5,961.0,134.82,291.1935,0.17601982299818392,42.18,1
0.5,919.5,170.22,266.17949999999996,0.2082009465693531,34.33,1
0.5,919.0,162.7,220.782,0.20913707591439235,34.775000000000006,1
0.5,950.5,127.045,247.95499999999998,0.16513585098377295,38.735,1
0.5,918.0,178.08499999999998,292.0025,0.23596452178179156,39.655,1
0.5,931.0,168.66500000000002,279.3655,0.21489409862701553,41.754999999999995,1
0.5,922.5,159.72,248.0455,0.19448078774591904,37.004999999999995,1
0.5,945.5,147.065,275.3535,0.19756758072660618,39.33,1
0.5,918.0,177.9,248.472,0.2091989239187654,37.955,1
0.5,932.5,174.56,290.196,0.2259184232376159,40.45,1
0.5,946.0,134.25,271.216,0.1914828049528872,37.144999999999996,1
0.5,915.5,187.0,290.557,0.2483103640417074,35.144999999999996,1
0.5,929.5,166.075,255.023,0.22745238081450264,39.5,1
