,0.1,0.25,0.5,0.75,0.9
1,24.8,35.79,57.68,71.83,97.54
2,23.92,35.64,50.6,70.38,97.3
3,23.41,35.27,50.5,69.69,96.35
4,22.64,33.66,48.02,68.74,96.29
5,22.85,34.18,48.24,69.4,98.43
6,23.48,33.72,49.8,69.87,97.58
7,23.26,33.98,50.02,70.36,98.37
8,23.71,34.19,50.64,71.35,98.49
9,23.63,33.72,50.64,70.69,97.76
10,23.56,33.89,50.6,71.16,98.42
11,23.45,33.67,50.83,70.71,98.11
12,23.42,33.82,51.04,70.75,98.26
13,23.66,34.18,51.74,71.72,99.24
14,23.72,34.46,51.96,72.4,99.86
15,23.78,34.33,51.95,72.3,99.24
16,23.93,34.62,52.2,72.82,99.67
17,23.78,34.93,52.26,72.96,100.2
18,23.85,34.93,52.64,73.16,99.88
19,24.04,35.11,53.1,73.32,100.2
20,24.02,34.84,53.09,72.9,99.37
21,24.0,35.03,53.2,73.44,99.95
22,24.21,34.98,53.28,73.44,99.93
23,24.27,35.01,53.23,73.44,100.22
24,24.12,34.98,53.22,73.2,100.23
25,24.24,34.98,53.4,73.27,100.35
26,24.11,34.82,53.28,73.03,100.01
27,24.05,34.69,53.29,72.9,99.93
28,23.92,34.67,53.28,72.78,100.07
29,23.85,34.56,53.28,72.61,99.84
30,23.96,34.47,53.28,72.64,99.43
31,24.05,34.5,53.29,72.67,99.49
32,24.11,34.48,53.31,72.67,99.48
33,24.14,34.64,53.34,72.88,99.83
34,24.12,34.78,53.29,72.92,100.01
35,24.27,34.64,53.44,73.03,99.8
36,24.23,34.64,53.37,72.85,99.74
37,24.23,34.52,53.28,72.83,99.38
38,24.3,34.7,53.3,72.98,99.64
39,24.3,34.67,53.37,73.03,99.68
40,24.3,34.67,53.41,73.04,99.71
41,24.38,34.66,53.37,73.06,99.67
42,24.32,34.61,53.26,72.96,99.65
43,24.29,34.76,53.24,73.07,99.88
44,24.25,34.68,53.27,72.88,99.83
45,24.21,34.75,53.37,72.91,99.96
46,24.23,34.79,53.47,72.89,100.01
47,24.27,34.68,53.29,72.87,99.74
48,24.24,34.76,53.27,72.84,99.81
49,24.27,34.69,53.27,72.82,99.7
50,24.23,34.75,53.25,72.78,99.75
51,24.31,34.8,53.48,72.95,99.91
52,24.3,34.78,53.41,72.89,99.83
53,24.23,34.68,53.32,72.78,99.73
54,24.23,34.67,53.28,72.7,99.64
55,24.22,34.71,53.26,72.75,99.8
56,24.29,34.75,53.42,72.86,99.81
57,24.27,34.7,53.42,72.75,99.74
58,24.27,34.7,53.46,72.74,99.77
59,24.27,34.66,53.49,72.66,99.52
60,24.23,34.57,53.28,72.57,99.31
61,24.3,34.66,53.48,72.79,99.46
62,24.27,34.63,53.48,72.74,99.48
63,24.34,34.65,53.51,72.82,99.45
64,24.3,34.59,53.52,72.7,99.29
65,24.33,34.56,53.61,72.67,99.17
66,24.38,34.63,53.64,72.81,99.29
67,24.38,34.58,53.62,72.74,99.06
68,24.35,34.61,53.62,72.7,99.07
69,24.35,34.62,53.63,72.73,99.21
70,24.33,34.68,53.63,72.79,99.37
71,24.29,34.62,53.56,72.7,99.34
72,24.35,34.59,53.67,72.8,99.29
73,24.31,34.65,53.67,72.84,99.43
74,24.26,34.56,53.5,72.79,99.39
75,24.26,34.56,53.55,72.82,99.48
76,24.24,34.48,53.44,72.74,99.29
77,24.24,34.52,53.44,72.75,99.29
78,24.24,34.58,53.43,72.75,99.4
79,24.29,34.67,53.48,72.88,99.49
80,24.27,34.63,53.46,72.83,99.46
81,24.24,34.65,53.44,72.85,99.63
82,24.25,34.63,53.44,72.86,99.52
83,24.24,34.58,53.42,72.81,99.45
84,24.21,34.59,53.4,72.82,99.54
85,24.23,34.6,53.4,72.83,99.57
86,24.25,34.67,53.46,72.94,99.71
87,24.28,34.68,53.46,72.95,99.68
88,24.25,34.63,53.41,72.89,99.53
89,24.27,34.6,53.42,72.88,99.45
90,24.33,34.59,53.54,72.98,99.41
91,24.29,34.54,53.49,72.89,99.24
92,24.25,34.5,53.44,72.84,99.22
93,24.29,34.52,53.42,72.89,99.24
94,24.28,34.55,53.43,72.93,99.38
95,24.25,34.52,53.42,72.85,99.35
96,24.23,34.47,53.36,72.79,99.24
97,24.23,34.54,53.32,72.83,99.34
98,24.24,34.48,53.35,72.82,99.18
99,24.27,34.55,53.34,72.91,99.29
100,24.25,34.54,53.37,72.87,99.24
