,0.1,0.25,0.5,0.75,0.9
1,175.32,263.53,402.75,517.57,722.22
2,181.22,259.2,391.23,520.45,714.49
3,174.23,256.4,382.16,525.83,723.37
4,168.65,251.42,373.81,519.57,737.59
5,166.25,254.18,361.64,527.01,759.45
6,170.47,253.07,370.05,532.65,747.53
7,170.47,251.39,373.08,527.22,740.88
8,172.07,254.34,372.3,528.86,746.45
9,169.8,250.59,371.97,520.85,732.23
10,167.34,248.43,369.38,521.18,736.23
11,164.56,247.02,370.05,521.92,736.38
12,165.06,247.79,372.13,518.23,733.79
13,163.84,245.69,371.58,513.68,721.59
14,162.55,244.64,367.12,513.63,722.87
15,163.17,244.07,366.29,510.09,713.45
16,163.92,244.9,372.3,511.85,715.76
17,163.14,245.17,372.62,513.37,717.4
18,162.61,244.63,371.84,510.42,711.48
19,163.92,245.18,373.69,514.94,713.43
20,164.65,244.95,374.73,514.68,710.22
21,163.69,245.77,375.54,515.85,713.7
22,164.78,245.18,375.11,514.86,710.72
23,164.75,244.79,373.83,513.35,705.19
24,164.07,244.54,371.88,512.47,707.76
25,163.91,243.74,370.54,510.85,704.74
26,164.04,242.64,369.71,509.71,701.04
27,163.49,243.2,368.96,509.88,703.36
28,163.17,241.87,369.51,508.27,698.0
29,162.73,241.68,369.33,506.49,698.89
30,163.04,241.26,368.69,504.97,697.12
31,163.91,241.61,368.42,506.55,698.0
32,164.8,242.31,371.88,509.88,700.6
33,164.83,243.31,371.88,511.65,702.94
34,165.23,243.23,371.94,511.02,701.72
35,165.06,242.57,371.59,509.71,699.25
36,164.73,242.08,371.41,508.24,700.48
37,164.78,241.79,371.78,507.07,698.63
38,164.78,242.65,371.81,507.05,700.82
39,165.25,242.18,372.13,507.3,700.23
40,165.25,243.08,372.95,510.16,702.87
41,165.48,243.67,373.83,510.85,703.99
42,165.06,243.23,371.93,511.54,705.55
43,165.55,242.78,372.41,511.95,703.32
44,166.65,242.6,372.79,512.28,702.62
45,165.99,242.28,372.79,511.71,702.62
46,165.79,242.6,372.93,510.97,702.84
47,166.71,243.17,373.05,512.03,703.63
48,166.45,243.67,372.9,511.94,704.63
49,167.05,243.95,373.25,512.95,704.71
50,167.27,243.74,373.61,512.39,703.63
51,168.35,244.43,375.6,514.63,704.86
52,169.18,244.56,377.75,516.03,705.35
53,168.79,244.67,377.88,516.19,706.5
54,169.04,244.74,377.91,516.15,706.81
55,169.61,245.24,379.18,518.54,709.57
56,169.33,245.87,378.96,519.3,711.32
57,169.37,245.96,379.75,519.68,711.55
58,169.94,245.5,379.79,520.0,710.09
59,170.08,246.12,380.45,520.62,710.71
60,170.56,246.27,380.5,520.75,711.32
61,170.59,246.08,380.62,520.41,710.95
62,170.55,246.11,380.68,520.09,710.74
63,170.68,246.54,380.67,520.44,711.78
64,170.21,246.1,379.78,519.34,710.59
65,170.47,246.54,380.5,520.27,711.42
66,170.24,246.98,380.62,520.14,712.72
67,170.99,247.73,381.88,522.55,713.5
68,170.85,247.62,381.94,521.87,713.42
69,170.52,247.96,382.02,522.04,714.47
70,170.83,248.36,382.92,522.14,714.62
71,170.88,248.46,382.92,522.16,714.61
72,171.18,248.63,383.14,522.58,714.65
73,170.95,248.7,383.14,522.94,715.74
74,170.9,248.66,382.85,522.78,715.54
75,170.45,248.39,382.71,522.11,714.55
76,170.01,247.59,381.75,521.59,713.16
77,169.91,247.45,381.35,520.74,712.58
78,169.69,247.59,381.13,520.61,712.72
79,170.01,247.91,381.32,520.7,713.07
80,169.69,247.54,381.09,519.84,711.36
81,169.68,247.73,381.13,519.84,712.61
82,170.09,247.48,381.31,519.6,711.0
83,170.08,247.09,380.26,519.23,709.57
84,169.81,246.82,379.55,519.14,709.56
85,170.13,246.46,379.69,519.3,707.76
86,170.76,246.76,379.88,520.62,708.48
87,170.57,246.72,379.71,520.0,708.04
88,170.31,246.92,379.75,520.51,708.82
89,170.43,246.92,379.88,520.31,709.43
90,170.92,246.93,380.13,520.45,709.31
91,170.85,246.69,380.35,520.26,707.87
92,170.57,246.51,380.03,519.63,706.81
93,170.56,246.43,379.86,519.3,706.17
94,170.71,246.13,379.83,519.3,705.09
95,170.38,245.95,379.36,519.06,704.08
96,170.55,245.94,379.86,518.74,703.98
97,170.7,246.37,379.77,519.3,705.04
98,170.89,246.07,379.75,519.22,703.47
99,171.1,246.33,380.22,519.71,704.39
100,170.87,246.2,380.13,519.58,704.71
