,0.1,0.25,0.5,0.75,0.9
1,0.15,0.2,0.27,0.32,0.35
2,0.16,0.2,0.27,0.33,0.36
3,0.16,0.21,0.27,0.33,0.36
4,0.15,0.21,0.27,0.33,0.37
5,0.15,0.21,0.27,0.33,0.37
6,0.15,0.21,0.27,0.33,0.38
7,0.15,0.21,0.28,0.34,0.38
8,0.16,0.21,0.28,0.34,0.38
9,0.16,0.21,0.28,0.34,0.38
10,0.15,0.21,0.28,0.34,0.38
11,0.16,0.21,0.28,0.34,0.38
12,0.15,0.21,0.28,0.34,0.38
13,0.15,0.21,0.28,0.34,0.38
14,0.14,0.2,0.27,0.33,0.37
15,0.15,0.2,0.27,0.33,0.37
16,0.14,0.2,0.27,0.33,0.37
17,0.14,0.2,0.27,0.33,0.37
18,0.14,0.2,0.27,0.33,0.37
19,0.14,0.2,0.27,0.33,0.37
20,0.14,0.2,0.27,0.33,0.37
21,0.14,0.2,0.27,0.33,0.37
22,0.14,0.2,0.27,0.33,0.37
23,0.14,0.2,0.27,0.33,0.37
24,0.14,0.2,0.27,0.33,0.37
25,0.14,0.2,0.27,0.32,0.37
26,0.14,0.2,0.27,0.32,0.37
27,0.14,0.2,0.27,0.33,0.37
28,0.14,0.2,0.27,0.33,0.37
29,0.14,0.2,0.27,0.33,0.37
30,0.14,0.2,0.27,0.33,0.37
31,0.14,0.2,0.27,0.32,0.36
32,0.14,0.2,0.27,0.32,0.36
33,0.14,0.2,0.27,0.32,0.36
34,0.14,0.2,0.27,0.32,0.36
35,0.14,0.2,0.27,0.32,0.36
36,0.14,0.2,0.27,0.33,0.36
37,0.14,0.2,0.27,0.33,0.37
38,0.14,0.2,0.27,0.33,0.36
39,0.14,0.2,0.27,0.32,0.36
40,0.14,0.2,0.27,0.32,0.36
41,0.14,0.2,0.27,0.32,0.36
42,0.14,0.2,0.27,0.32,0.36
43,0.14,0.2,0.27,0.32,0.36
44,0.14,0.2,0.27,0.32,0.36
45,0.14,0.2,0.27,0.32,0.36
46,0.14,0.2,0.27,0.32,0.36
47,0.14,0.2,0.27,0.32,0.36
48,0.14,0.2,0.27,0.32,0.36
49,0.14,0.2,0.27,0.32,0.36
50,0.14,0.2,0.27,0.32,0.36
51,0.14,0.2,0.27,0.33,0.36
52,0.14,0.2,0.27,0.33,0.36
53,0.14,0.2,0.27,0.33,0.36
54,0.14,0.2,0.27,0.33,0.37
55,0.14,0.2,0.27,0.33,0.37
56,0.14,0.2,0.27,0.33,0.37
57,0.14,0.2,0.27,0.33,0.37
58,0.14,0.2,0.27,0.33,0.37
59,0.14,0.2,0.27,0.33,0.37
60,0.15,0.2,0.27,0.33,0.37
61,0.14,0.2,0.27,0.33,0.37
62,0.15,0.2,0.27,0.33,0.37
63,0.15,0.2,0.27,0.33,0.37
64,0.15,0.2,0.27,0.33,0.37
65,0.15,0.2,0.27,0.33,0.37
66,0.15,0.2,0.27,0.33,0.37
67,0.15,0.2,0.27,0.33,0.37
68,0.15,0.2,0.27,0.33,0.37
69,0.15,0.2,0.27,0.33,0.37
70,0.15,0.2,0.27,0.33,0.37
71,0.15,0.2,0.27,0.33,0.37
72,0.15,0.2,0.27,0.33,0.37
73,0.15,0.2,0.27,0.33,0.37
74,0.15,0.2,0.27,0.33,0.37
75,0.15,0.2,0.27,0.33,0.37
76,0.15,0.2,0.27,0.33,0.37
77,0.15,0.2,0.27,0.33,0.37
78,0.15,0.2,0.27,0.33,0.37
79,0.15,0.2,0.27,0.33,0.37
80,0.15,0.2,0.27,0.33,0.37
81,0.15,0.2,0.27,0.33,0.37
82,0.15,0.2,0.27,0.33,0.37
83,0.15,0.2,0.27,0.33,0.37
84,0.15,0.2,0.27,0.33,0.37
85,0.15,0.2,0.27,0.33,0.37
86,0.15,0.2,0.27,0.33,0.37
87,0.15,0.2,0.27,0.33,0.37
88,0.15,0.2,0.27,0.33,0.37
89,0.15,0.2,0.27,0.33,0.37
90,0.15,0.2,0.27,0.33,0.37
91,0.15,0.2,0.27,0.33,0.37
92,0.15,0.2,0.27,0.33,0.37
93,0.15,0.2,0.27,0.33,0.37
94,0.15,0.2,0.27,0.33,0.37
95,0.15,0.2,0.27,0.33,0.37
96,0.15,0.2,0.27,0.33,0.37
97,0.15,0.2,0.27,0.33,0.37
98,0.15,0.2,0.27,0.33,0.37
99,0.15,0.2,0.27,0.33,0.37
100,0.15,0.2,0.27,0.33,0.37
