,0.1,0.25,0.5,0.75,0.9
1,762.9,822.5,854.0,897.0,928.0
2,754.0,801.75,854.0,892.0,915.0
3,753.0,796.0,854.0,892.0,915.0
4,731.0,793.0,847.0,890.25,915.0
5,732.0,793.0,848.5,893.0,920.0
6,733.9,792.75,851.0,892.0,916.0
7,737.0,792.0,851.0,893.0,916.0
8,742.0,794.0,853.0,893.0,915.0
9,741.9,792.0,852.0,891.0,913.0
10,738.0,791.0,851.0,892.0,914.0
11,734.0,790.0,849.0,891.0,914.0
12,738.0,790.0,850.0,893.0,916.0
13,738.9,790.0,851.0,893.0,918.0
14,740.0,793.0,853.0,895.0,920.0
15,739.0,790.0,853.0,894.0,919.0
16,741.0,792.0,854.0,895.25,920.0
17,742.0,793.0,855.0,895.0,920.0
18,744.0,796.0,856.0,897.0,921.0
19,747.0,799.0,857.5,899.0,922.0
20,744.9,799.0,857.0,899.0,922.0
21,747.0,802.0,859.0,901.0,924.0
22,748.0,802.0,859.0,900.0,923.0
23,748.0,803.0,859.0,900.0,923.0
24,746.0,803.0,858.0,900.0,923.0
25,748.0,804.0,859.0,900.0,923.0
26,748.0,804.0,860.0,900.0,923.0
27,748.0,804.0,860.0,901.0,923.0
28,748.0,803.0,859.0,900.0,922.0
29,747.0,803.0,859.0,900.0,922.0
30,748.0,803.0,859.5,900.0,922.0
31,749.0,805.0,860.0,901.0,923.0
32,750.0,806.0,861.0,901.0,922.1
33,751.0,806.0,861.0,901.0,923.0
34,750.0,806.0,861.0,901.0,923.0
35,750.0,805.0,860.0,901.0,922.0
36,750.0,805.0,861.0,901.0,922.0
37,750.0,804.0,860.0,900.0,922.0
38,751.0,805.0,860.0,900.0,922.0
39,752.0,806.0,861.0,901.0,922.0
40,752.0,806.0,861.0,901.0,923.0
41,753.0,807.0,862.0,901.0,923.0
42,752.0,807.0,861.0,901.0,923.0
43,752.0,807.0,861.0,901.0,923.0
44,752.0,807.0,861.0,901.0,923.0
45,751.0,807.0,861.0,901.0,923.0
46,751.0,807.0,861.0,900.0,923.0
47,752.0,807.0,861.0,901.0,922.0
48,752.0,807.0,862.0,901.0,922.0
49,753.0,807.0,862.0,901.0,922.0
50,751.9,807.0,861.0,900.0,922.0
51,752.0,807.0,861.0,900.0,922.0
52,752.0,807.0,862.0,900.0,922.0
53,752.0,807.0,861.0,900.0,922.0
54,751.0,806.0,861.0,900.0,922.0
55,752.0,807.0,861.0,900.0,922.0
56,752.0,807.0,861.0,900.0,922.0
57,751.0,806.0,861.0,900.0,922.0
58,752.0,806.0,861.0,900.0,922.0
59,752.0,806.0,861.0,900.0,921.0
60,751.0,806.0,861.0,900.0,921.0
61,752.0,806.0,861.0,900.0,921.0
62,752.0,806.0,861.0,900.0,921.0
63,753.0,807.0,862.0,900.0,921.0
64,751.9,806.0,861.0,900.0,921.0
65,751.0,806.0,861.0,900.0,921.0
66,752.0,806.0,861.0,900.0,921.0
67,751.0,806.0,861.0,900.0,921.0
68,751.0,806.0,861.0,900.0,921.0
69,752.0,806.0,861.0,899.0,921.0
70,752.0,806.0,861.0,899.0,921.0
71,752.0,806.0,861.0,899.0,921.0
72,752.0,806.0,861.0,899.0,921.0
73,752.0,806.0,861.0,899.0,921.0
74,751.0,805.0,861.0,899.0,921.0
75,751.9,806.0,861.0,899.0,921.0
76,751.0,805.0,861.0,899.0,921.0
77,751.0,805.0,860.0,899.0,921.0
78,752.0,805.0,861.0,899.0,921.0
79,752.0,805.0,861.0,899.0,921.0
80,751.9,805.0,861.0,899.0,921.0
81,751.0,805.0,861.0,899.0,921.0
82,752.0,805.0,861.0,899.0,921.0
83,752.0,805.0,861.0,899.0,921.0
84,751.0,805.0,861.0,899.0,921.0
85,751.0,805.0,861.0,899.0,921.0
86,752.0,805.0,861.0,899.0,921.0
87,752.0,806.0,861.0,899.0,921.0
88,752.0,805.0,861.0,899.0,921.0
89,752.0,805.0,861.0,899.0,921.0
90,752.0,806.0,861.0,899.0,921.0
91,752.0,805.0,861.0,899.0,921.0
92,752.0,805.0,861.0,899.0,921.0
93,752.0,805.0,861.0,899.0,921.0
94,752.0,805.0,861.0,899.0,921.0
95,752.0,805.0,861.0,899.0,921.0
96,752.0,805.0,861.0,899.0,921.0
97,752.0,806.0,861.0,899.0,921.0
98,752.0,805.0,861.0,899.0,921.0
99,753.0,806.0,861.0,899.0,921.0
100,753.0,805.0,861.0,899.0,921.0
