,0.1,0.25,0.5,0.75,0.9
1,385.63,508.18,633.54,722.02,822.54
2,440.92,513.32,617.58,718.95,811.28
3,438.03,506.27,612.1,727.11,806.72
4,437.56,512.06,626.15,738.73,823.14
5,412.95,503.76,623.76,736.97,824.81
6,420.65,506.34,621.17,736.66,820.92
7,424.25,503.32,617.75,735.91,817.54
8,433.62,506.43,615.39,733.85,811.25
9,439.97,510.85,616.97,738.21,811.91
10,434.1,508.79,620.06,739.83,815.08
11,434.9,509.16,621.84,741.18,815.86
12,423.56,503.46,617.62,737.57,811.68
13,415.13,500.25,615.24,735.88,808.38
14,409.28,494.76,610.93,731.7,804.98
15,413.62,496.84,611.48,734.33,806.26
16,410.0,493.64,609.9,732.1,803.05
17,411.51,494.32,609.36,731.38,801.13
18,408.3,489.69,606.46,726.38,798.77
19,405.08,484.16,603.04,720.72,796.13
20,404.25,482.54,603.08,719.53,796.13
21,396.86,476.02,598.02,712.56,793.7
22,400.23,480.74,601.47,715.91,793.95
23,400.66,480.84,600.08,714.4,792.8
24,398.9,479.65,599.88,712.97,792.19
25,398.62,478.8,597.47,709.5,789.94
26,399.67,478.06,596.58,711.03,790.13
27,399.62,476.6,594.93,709.98,789.1
28,401.48,478.3,595.66,712.66,789.05
29,401.52,479.04,596.98,713.2,790.83
30,399.9,476.96,595.07,710.51,789.88
31,398.34,473.92,592.55,707.11,788.37
32,399.99,474.99,592.26,706.54,787.9
33,398.48,473.28,589.97,705.02,787.03
34,399.31,475.1,592.0,706.58,788.37
35,401.26,476.49,593.23,708.59,788.38
36,401.31,476.84,592.54,708.48,788.36
37,402.76,480.16,595.26,710.88,790.7
38,402.63,479.42,593.53,709.33,789.63
39,400.75,477.41,592.13,706.6,788.36
40,399.91,476.72,591.74,706.17,788.14
41,397.96,475.2,589.71,703.72,787.19
42,398.64,475.92,590.38,705.14,787.78
43,400.22,476.94,591.37,706.51,787.82
44,400.4,477.52,590.5,706.31,787.24
45,400.47,478.07,591.04,706.2,787.84
46,400.04,478.21,591.12,706.17,788.17
47,400.06,477.35,589.74,704.85,787.54
48,400.06,476.63,588.59,703.92,786.92
49,401.11,476.98,588.42,704.8,786.79
50,402.26,477.56,588.56,705.33,786.63
51,402.4,478.12,589.0,706.15,786.92
52,403.0,478.14,589.0,705.97,786.54
53,402.8,478.07,589.25,706.04,786.33
54,403.95,479.26,591.4,707.02,787.11
55,402.9,478.28,591.11,706.7,786.68
56,403.0,478.12,590.95,706.86,786.31
57,404.08,479.44,592.42,708.44,787.44
58,404.22,479.53,591.99,708.31,787.11
59,405.15,480.26,591.62,708.67,786.81
60,405.41,481.13,592.39,709.1,787.19
61,404.55,479.64,591.04,708.16,786.58
62,405.33,480.16,591.24,708.31,786.58
63,404.94,479.13,589.82,706.6,785.8
64,405.95,480.89,591.84,708.26,787.33
65,406.26,481.18,592.28,708.34,788.14
66,406.07,480.76,591.34,708.26,787.67
67,406.97,481.9,593.2,709.48,789.42
68,406.86,481.99,593.2,709.37,789.55
69,406.69,482.65,593.49,710.06,790.39
70,407.24,482.97,593.98,710.82,790.89
71,407.59,483.51,593.6,710.61,790.74
72,407.93,483.55,593.5,710.91,790.5
73,408.17,483.77,593.64,711.02,790.74
74,408.35,484.43,594.49,712.27,791.41
75,407.45,483.3,593.83,711.26,791.11
76,408.07,483.66,593.86,711.79,790.85
77,408.77,484.8,594.76,712.64,791.47
78,408.19,484.24,593.92,711.62,790.97
79,408.19,484.06,593.54,711.91,790.56
80,408.6,484.65,593.98,712.71,790.96
81,408.45,484.92,593.99,712.5,790.98
82,407.84,484.18,593.29,711.38,790.56
83,407.61,483.79,592.81,711.02,790.2
84,408.23,484.48,593.45,712.17,790.98
85,408.3,484.52,593.21,711.87,790.68
86,408.82,484.99,593.62,712.49,791.0
87,408.02,483.99,592.96,711.3,790.38
88,408.07,483.92,592.68,711.39,790.17
89,408.1,484.0,592.51,711.14,789.95
90,408.47,484.69,593.01,711.75,790.07
91,408.31,484.53,592.76,711.7,789.88
92,408.31,484.38,592.68,711.83,789.71
93,408.33,484.48,592.29,711.41,789.51
94,408.48,484.34,591.75,710.96,789.13
95,408.56,484.56,592.02,711.31,789.65
96,408.91,484.62,591.92,711.24,789.52
97,408.36,483.94,591.39,710.68,789.11
98,408.6,484.01,591.52,710.93,789.1
99,408.45,483.94,591.4,710.68,789.1
100,408.56,484.29,591.62,711.06,789.25
