,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
17529,17529,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,2.0,5.0,3.0,reference,69801,MisinfoPy
17637,17637,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,5.0,5.0,3.0,reference,69909,MisinfoPy
17997,17997,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,4.0,5.0,3.0,reference,70269,MisinfoPy
18141,18141,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,8.0,5.0,3.0,reference,70413,MisinfoPy
18285,18285,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,2.0,1.0,5.0,3.0,reference,70557,MisinfoPy
18393,18393,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,2.0,4.0,5.0,3.0,reference,70665,MisinfoPy
19185,19185,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,4.0,5.0,3.0,reference,71457,MisinfoPy
19329,19329,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,4.0,8.0,5.0,3.0,reference,71601,MisinfoPy
19725,19725,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,8.0,5.0,3.0,reference,71997,MisinfoPy
19761,19761,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,9.0,5.0,3.0,reference,72033,MisinfoPy
19797,19797,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,5.0,10.0,5.0,3.0,reference,72069,MisinfoPy
20121,20121,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,8.0,5.0,3.0,reference,72393,MisinfoPy
20157,20157,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,9.0,5.0,3.0,reference,72429,MisinfoPy
20193,20193,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,6.0,10.0,5.0,3.0,reference,72465,MisinfoPy
20553,20553,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,7.0,9.0,5.0,3.0,reference,72825,MisinfoPy
20733,20733,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,8.0,3.0,5.0,3.0,reference,73005,MisinfoPy
21129,21129,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,3.0,5.0,3.0,reference,73401,MisinfoPy
21165,21165,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,9.0,4.0,5.0,3.0,reference,73437,MisinfoPy
21489,21489,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,2.0,5.0,3.0,reference,73761,MisinfoPy
21561,21561,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,10.0,4.0,5.0,3.0,reference,73833,MisinfoPy
