,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
13996,13996,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,3.0,4.0,4.0,reference,40132,MisinfoPy
14032,14032,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,4.0,4.0,4.0,reference,40168,MisinfoPy
14068,14068,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,5.0,4.0,4.0,reference,40204,MisinfoPy
14104,14104,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,6.0,4.0,4.0,reference,40240,MisinfoPy
14140,14140,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,7.0,4.0,4.0,reference,40276,MisinfoPy
14176,14176,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,8.0,4.0,4.0,reference,40312,MisinfoPy
14212,14212,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,9.0,4.0,4.0,reference,40348,MisinfoPy
15292,15292,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,5.0,6.0,4.0,4.0,reference,41428,MisinfoPy
15328,15328,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,5.0,7.0,4.0,4.0,reference,41464,MisinfoPy
15364,15364,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,5.0,8.0,4.0,4.0,reference,41500,MisinfoPy
15400,15400,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,5.0,9.0,4.0,4.0,reference,41536,MisinfoPy
15436,15436,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,5.0,10.0,4.0,4.0,reference,41572,MisinfoPy
15508,15508,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,1.0,4.0,4.0,reference,41644,MisinfoPy
15544,15544,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,2.0,4.0,4.0,reference,41680,MisinfoPy
16084,16084,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,7.0,6.0,4.0,4.0,reference,42220,MisinfoPy
16696,16696,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,9.0,1.0,4.0,4.0,reference,42832,MisinfoPy
16732,16732,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,9.0,2.0,4.0,4.0,reference,42868,MisinfoPy
16768,16768,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,9.0,3.0,4.0,4.0,reference,42904,MisinfoPy
16804,16804,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,9.0,4.0,4.0,4.0,reference,42940,MisinfoPy
16840,16840,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,9.0,5.0,4.0,4.0,reference,42976,MisinfoPy
