,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
13785,13785,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,8.0,5.0,3.0,reference,13785,MisinfoPy
13821,13821,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,9.0,5.0,3.0,reference,13821,MisinfoPy
13857,13857,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,10.0,5.0,3.0,reference,13857,MisinfoPy
13929,13929,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,1.0,5.0,3.0,reference,13929,MisinfoPy
13965,13965,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,2.0,5.0,3.0,reference,13965,MisinfoPy
14001,14001,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,3.0,5.0,3.0,reference,14001,MisinfoPy
14037,14037,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,4.0,5.0,3.0,reference,14037,MisinfoPy
15369,15369,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,5.0,8.0,5.0,3.0,reference,15369,MisinfoPy
15405,15405,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,5.0,9.0,5.0,3.0,reference,15405,MisinfoPy
15441,15441,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,5.0,10.0,5.0,3.0,reference,15441,MisinfoPy
15513,15513,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,1.0,5.0,3.0,reference,15513,MisinfoPy
15549,15549,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,2.0,5.0,3.0,reference,15549,MisinfoPy
15585,15585,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,3.0,5.0,3.0,reference,15585,MisinfoPy
15621,15621,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,4.0,5.0,3.0,reference,15621,MisinfoPy
15657,15657,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,5.0,5.0,3.0,reference,15657,MisinfoPy
15693,15693,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,6.0,5.0,3.0,reference,15693,MisinfoPy
15729,15729,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,7.0,5.0,3.0,reference,15729,MisinfoPy
15765,15765,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,6.0,8.0,5.0,3.0,reference,15765,MisinfoPy
16125,16125,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,7.0,7.0,5.0,3.0,reference,16125,MisinfoPy
17205,17205,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,10.0,4.0,5.0,3.0,reference,17205,MisinfoPy
