,Unnamed: 0,n_agents_above_belief_threshold,polarization_variance,engagement,free_speech_constraint,avg_user_effort
15508,15508,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
16804,16804,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
14032,14032,948.9666666666668,133.11366666666666,178.5175,0.2045271771644162,28.270333333333333
16732,16732,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
15436,15436,948.9666666666668,133.11366666666666,178.5175,0.2206077994106083,28.270333333333333
14068,14068,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
16768,16768,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
14104,14104,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
15400,15400,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
14140,14140,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
13996,13996,948.9666666666668,133.11366666666666,178.5175,0.2018470734567175,28.270333333333333
15364,15364,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
16084,16084,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
14176,14176,948.9666666666668,133.11366666666666,178.5175,0.2152475919952109,28.270333333333333
15328,15328,948.9666666666668,133.11366666666666,178.5175,0.2125674882875123,28.270333333333333
16840,16840,948.9666666666668,133.11366666666666,178.5175,0.2072072808721149,28.270333333333333
14212,14212,948.9666666666668,133.11366666666666,178.5175,0.2179276957029095,28.270333333333333
15292,15292,948.9666666666668,133.11366666666666,178.5175,0.2098873845798136,28.270333333333333
16696,16696,948.9666666666668,133.11366666666666,178.5175,0.1964868660413202,28.270333333333333
15544,15544,948.9666666666668,133.11366666666666,178.5175,0.1991669697490189,28.270333333333333
