,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
13132,13132,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,1.0,4.0,4.0,reference,39268,MisinfoPy
13168,13168,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,2.0,4.0,4.0,reference,39304,MisinfoPy
13204,13204,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,3.0,4.0,4.0,reference,39340,MisinfoPy
13240,13240,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,4.0,4.0,4.0,reference,39376,MisinfoPy
13276,13276,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,5.0,4.0,4.0,reference,39412,MisinfoPy
13312,13312,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,6.0,4.0,4.0,reference,39448,MisinfoPy
13348,13348,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,7.0,4.0,4.0,reference,39484,MisinfoPy
13384,13384,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,8.0,4.0,4.0,reference,39520,MisinfoPy
13420,13420,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,9.0,4.0,4.0,reference,39556,MisinfoPy
13456,13456,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,10.0,4.0,4.0,reference,39592,MisinfoPy
13528,13528,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,1.0,4.0,4.0,reference,39664,MisinfoPy
13564,13564,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,2.0,4.0,4.0,reference,39700,MisinfoPy
13600,13600,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,3.0,4.0,4.0,reference,39736,MisinfoPy
13636,13636,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,4.0,4.0,4.0,reference,39772,MisinfoPy
13672,13672,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,5.0,4.0,4.0,reference,39808,MisinfoPy
13708,13708,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,6.0,4.0,4.0,reference,39844,MisinfoPy
13744,13744,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,7.0,4.0,4.0,reference,39880,MisinfoPy
13780,13780,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,8.0,4.0,4.0,reference,39916,MisinfoPy
13816,13816,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,9.0,4.0,4.0,reference,39952,MisinfoPy
13852,13852,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,1.0,10.0,4.0,4.0,reference,39988,MisinfoPy
13924,13924,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,1.0,4.0,4.0,reference,40060,MisinfoPy
13960,13960,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,2.0,4.0,4.0,reference,40096,MisinfoPy
13996,13996,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,3.0,4.0,4.0,reference,40132,MisinfoPy
14032,14032,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,4.0,4.0,4.0,reference,40168,MisinfoPy
14068,14068,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,5.0,4.0,4.0,reference,40204,MisinfoPy
14104,14104,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,6.0,4.0,4.0,reference,40240,MisinfoPy
14140,14140,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,7.0,4.0,4.0,reference,40276,MisinfoPy
14176,14176,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,8.0,4.0,4.0,reference,40312,MisinfoPy
14212,14212,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,9.0,4.0,4.0,reference,40348,MisinfoPy
14248,14248,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,2.0,10.0,4.0,4.0,reference,40384,MisinfoPy
14320,14320,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,1.0,4.0,4.0,reference,40456,MisinfoPy
14356,14356,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,2.0,4.0,4.0,reference,40492,MisinfoPy
14392,14392,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,3.0,3.0,4.0,4.0,reference,40528,MisinfoPy
