,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
13137,13137,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,1.0,5.0,3.0,reference,13137,MisinfoPy
13173,13173,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,2.0,5.0,3.0,reference,13173,MisinfoPy
13209,13209,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,3.0,5.0,3.0,reference,13209,MisinfoPy
13245,13245,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,4.0,5.0,3.0,reference,13245,MisinfoPy
13281,13281,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,5.0,5.0,3.0,reference,13281,MisinfoPy
13317,13317,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,6.0,5.0,3.0,reference,13317,MisinfoPy
13353,13353,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,7.0,5.0,3.0,reference,13353,MisinfoPy
13389,13389,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,8.0,5.0,3.0,reference,13389,MisinfoPy
13425,13425,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,9.0,5.0,3.0,reference,13425,MisinfoPy
13461,13461,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,3.0,0.0,10.0,5.0,3.0,reference,13461,MisinfoPy
