,Unnamed: 0,belief_metric_threshold,n_edges,ratio_normal_user,mean_normal_user,mean_disinformer,high_media_lit,deffuant_mu,sampling_p_update,n_posts_estimate_similarity,del_t,mlit_select,rank_punish,rank_t,strikes_t,scenario,policy,model
17493,17493,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,1.0,5.0,3.0,reference,69765,MisinfoPy
17529,17529,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,2.0,5.0,3.0,reference,69801,MisinfoPy
17565,17565,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,3.0,5.0,3.0,reference,69837,MisinfoPy
17601,17601,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,4.0,5.0,3.0,reference,69873,MisinfoPy
17637,17637,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,5.0,5.0,3.0,reference,69909,MisinfoPy
17673,17673,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,6.0,5.0,3.0,reference,69945,MisinfoPy
17709,17709,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,7.0,5.0,3.0,reference,69981,MisinfoPy
17745,17745,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,8.0,5.0,3.0,reference,70017,MisinfoPy
17781,17781,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,9.0,5.0,3.0,reference,70053,MisinfoPy
17817,17817,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,0.0,10.0,5.0,3.0,reference,70089,MisinfoPy
17889,17889,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,1.0,5.0,3.0,reference,70161,MisinfoPy
17925,17925,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,2.0,5.0,3.0,reference,70197,MisinfoPy
17961,17961,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,3.0,5.0,3.0,reference,70233,MisinfoPy
17997,17997,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,4.0,5.0,3.0,reference,70269,MisinfoPy
18033,18033,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,5.0,5.0,3.0,reference,70305,MisinfoPy
18069,18069,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,6.0,5.0,3.0,reference,70341,MisinfoPy
18105,18105,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,7.0,5.0,3.0,reference,70377,MisinfoPy
18141,18141,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,8.0,5.0,3.0,reference,70413,MisinfoPy
18177,18177,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,9.0,5.0,3.0,reference,70449,MisinfoPy
18213,18213,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,1.0,10.0,5.0,3.0,reference,70485,MisinfoPy
18285,18285,80.0,3.0,0.9930851855394072,0.0,8.0,0.2851257267625852,0.0185664008066397,0.027594598317021,5.0,4.0,2.0,1.0,5.0,3.0,reference,70557,MisinfoPy
