,Replication,"((0.0, <SelectAgentsBy.RANDOM: 0>), True)","((0.0, <SelectAgentsBy.RANDOM: 0>), False)","((0.1, <SelectAgentsBy.RANDOM: 0>), True)","((0.1, <SelectAgentsBy.RANDOM: 0>), False)","((0.25, <SelectAgentsBy.RANDOM: 0>), True)","((0.25, <SelectAgentsBy.RANDOM: 0>), False)","((0.9, <SelectAgentsBy.RANDOM: 0>), True)","((0.9, <SelectAgentsBy.RANDOM: 0>), False)"
0,0,"(0.251, 0.251)","(0.264, 0.264)","(0.234, 0.234)","(0.248, 0.248)","(0.259, 0.259)","(0.23, 0.23)","(0.273, 0.273)","(0.259, 0.259)"
1,1,"(0.262, 0.262)","(0.261, 0.261)","(0.255, 0.255)","(0.247, 0.247)","(0.267, 0.267)","(0.266, 0.266)","(0.228, 0.228)","(0.265, 0.265)"
2,2,"(0.255, 0.255)","(0.253, 0.253)","(0.252, 0.252)","(0.241, 0.241)","(0.237, 0.237)","(0.251, 0.251)","(0.224, 0.224)","(0.25, 0.25)"
3,3,"(0.241, 0.241)","(0.271, 0.271)","(0.279, 0.279)","(0.269, 0.269)","(0.264, 0.264)","(0.253, 0.253)","(0.228, 0.228)","(0.254, 0.254)"
4,4,"(0.245, 0.245)","(0.255, 0.255)","(0.257, 0.257)","(0.267, 0.267)","(0.272, 0.272)","(0.261, 0.261)","(0.27, 0.27)","(0.257, 0.257)"
5,5,"(0.259, 0.259)","(0.261, 0.261)","(0.269, 0.269)","(0.267, 0.267)","(0.259, 0.259)","(0.259, 0.259)","(0.255, 0.255)","(0.272, 0.272)"
6,6,"(0.266, 0.266)","(0.236, 0.236)","(0.256, 0.256)","(0.252, 0.252)","(0.236, 0.236)","(0.261, 0.261)","(0.242, 0.242)","(0.25, 0.25)"
7,7,"(0.24, 0.24)","(0.256, 0.256)","(0.242, 0.242)","(0.256, 0.256)","(0.258, 0.258)","(0.27, 0.27)","(0.261, 0.261)","(0.26, 0.26)"
8,8,"(0.279, 0.279)","(0.238, 0.238)","(0.254, 0.254)","(0.251, 0.251)","(0.257, 0.257)","(0.283, 0.283)","(0.246, 0.246)","(0.284, 0.284)"
9,9,"(0.255, 0.255)","(0.265, 0.265)","(0.26, 0.26)","(0.255, 0.255)","(0.278, 0.278)","(0.254, 0.254)","(0.267, 0.267)","(0.249, 0.249)"
10,10,"(0.24, 0.24)","(0.243, 0.243)","(0.242, 0.242)","(0.278, 0.278)","(0.239, 0.239)","(0.265, 0.265)","(0.249, 0.249)","(0.245, 0.245)"
11,11,"(0.275, 0.275)","(0.266, 0.266)","(0.233, 0.233)","(0.265, 0.265)","(0.243, 0.243)","(0.245, 0.245)","(0.27, 0.27)","(0.269, 0.269)"
12,12,"(0.263, 0.263)","(0.28, 0.28)","(0.283, 0.283)","(0.259, 0.259)","(0.258, 0.258)","(0.281, 0.281)","(0.268, 0.268)","(0.256, 0.256)"
13,13,"(0.248, 0.248)","(0.251, 0.251)","(0.26, 0.26)","(0.257, 0.257)","(0.283, 0.283)","(0.258, 0.258)","(0.252, 0.252)","(0.256, 0.256)"
14,14,"(0.249, 0.249)","(0.266, 0.266)","(0.264, 0.264)","(0.254, 0.254)","(0.288, 0.288)","(0.281, 0.281)","(0.269, 0.269)","(0.252, 0.252)"
15,15,"(0.267, 0.267)","(0.283, 0.283)","(0.263, 0.263)","(0.253, 0.253)","(0.25, 0.25)","(0.247, 0.247)","(0.249, 0.249)","(0.292, 0.292)"
16,16,"(0.274, 0.274)","(0.257, 0.257)","(0.265, 0.265)","(0.252, 0.252)","(0.286, 0.286)","(0.292, 0.292)","(0.228, 0.228)","(0.269, 0.269)"
17,17,"(0.262, 0.262)","(0.248, 0.248)","(0.262, 0.262)","(0.249, 0.249)","(0.277, 0.277)","(0.247, 0.247)","(0.256, 0.256)","(0.258, 0.258)"
18,18,"(0.268, 0.268)","(0.242, 0.242)","(0.243, 0.243)","(0.241, 0.241)","(0.262, 0.262)","(0.245, 0.245)","(0.244, 0.244)","(0.266, 0.266)"
19,19,"(0.278, 0.278)","(0.223, 0.223)","(0.259, 0.259)","(0.265, 0.265)","(0.265, 0.265)","(0.244, 0.244)","(0.244, 0.244)","(0.252, 0.252)"
20,20,"(0.245, 0.245)","(0.251, 0.251)","(0.284, 0.284)","(0.23, 0.23)","(0.25, 0.25)","(0.256, 0.256)","(0.26, 0.26)","(0.246, 0.246)"
21,21,"(0.266, 0.266)","(0.251, 0.251)","(0.25, 0.25)","(0.252, 0.252)","(0.24, 0.24)","(0.256, 0.256)","(0.245, 0.245)","(0.266, 0.266)"
22,22,"(0.254, 0.254)","(0.247, 0.247)","(0.243, 0.243)","(0.235, 0.235)","(0.242, 0.242)","(0.243, 0.243)","(0.257, 0.257)","(0.268, 0.268)"
23,23,"(0.243, 0.243)","(0.268, 0.268)","(0.256, 0.256)","(0.247, 0.247)","(0.28, 0.28)","(0.299, 0.299)","(0.273, 0.273)","(0.259, 0.259)"
24,24,"(0.256, 0.256)","(0.261, 0.261)","(0.264, 0.264)","(0.263, 0.263)","(0.257, 0.257)","(0.281, 0.281)","(0.248, 0.248)","(0.253, 0.253)"
25,25,"(0.246, 0.246)","(0.218, 0.218)","(0.263, 0.263)","(0.24, 0.24)","(0.244, 0.244)","(0.261, 0.261)","(0.26, 0.26)","(0.249, 0.249)"
26,26,"(0.247, 0.247)","(0.269, 0.269)","(0.233, 0.233)","(0.273, 0.273)","(0.257, 0.257)","(0.27, 0.27)","(0.265, 0.265)","(0.257, 0.257)"
27,27,"(0.255, 0.255)","(0.262, 0.262)","(0.25, 0.25)","(0.255, 0.255)","(0.248, 0.248)","(0.247, 0.247)","(0.241, 0.241)","(0.258, 0.258)"
28,28,"(0.263, 0.263)","(0.272, 0.272)","(0.251, 0.251)","(0.256, 0.256)","(0.256, 0.256)","(0.247, 0.247)","(0.259, 0.259)","(0.279, 0.279)"
29,29,"(0.24, 0.24)","(0.253, 0.253)","(0.256, 0.256)","(0.268, 0.268)","(0.263, 0.263)","(0.237, 0.237)","(0.26, 0.26)","(0.269, 0.269)"
30,30,"(0.259, 0.259)","(0.28, 0.28)","(0.253, 0.253)","(0.258, 0.258)","(0.239, 0.239)","(0.262, 0.262)","(0.239, 0.239)","(0.259, 0.259)"
31,31,"(0.254, 0.254)","(0.263, 0.263)","(0.252, 0.252)","(0.289, 0.289)","(0.252, 0.252)","(0.259, 0.259)","(0.273, 0.273)","(0.29, 0.29)"
32,32,"(0.286, 0.286)","(0.233, 0.233)","(0.266, 0.266)","(0.281, 0.281)","(0.257, 0.257)","(0.252, 0.252)","(0.246, 0.246)","(0.257, 0.257)"
33,33,"(0.266, 0.266)","(0.255, 0.255)","(0.244, 0.244)","(0.249, 0.249)","(0.248, 0.248)","(0.257, 0.257)","(0.241, 0.241)","(0.281, 0.281)"
34,34,"(0.253, 0.253)","(0.247, 0.247)","(0.235, 0.235)","(0.231, 0.231)","(0.271, 0.271)","(0.285, 0.285)","(0.263, 0.263)","(0.26, 0.26)"
35,35,"(0.272, 0.272)","(0.247, 0.247)","(0.245, 0.245)","(0.24, 0.24)","(0.272, 0.272)","(0.259, 0.259)","(0.261, 0.261)","(0.251, 0.251)"
36,36,"(0.271, 0.271)","(0.248, 0.248)","(0.282, 0.282)","(0.251, 0.251)","(0.241, 0.241)","(0.254, 0.254)","(0.268, 0.268)","(0.265, 0.265)"
37,37,"(0.252, 0.252)","(0.257, 0.257)","(0.268, 0.268)","(0.257, 0.257)","(0.258, 0.258)","(0.272, 0.272)","(0.265, 0.265)","(0.243, 0.243)"
38,38,"(0.259, 0.259)","(0.269, 0.269)","(0.277, 0.277)","(0.232, 0.232)","(0.257, 0.257)","(0.264, 0.264)","(0.26, 0.26)","(0.258, 0.258)"
39,39,"(0.265, 0.265)","(0.252, 0.252)","(0.247, 0.247)","(0.245, 0.245)","(0.257, 0.257)","(0.248, 0.248)","(0.257, 0.257)","(0.269, 0.269)"
40,40,"(0.243, 0.243)","(0.256, 0.256)","(0.253, 0.253)","(0.275, 0.275)","(0.265, 0.265)","(0.228, 0.228)","(0.247, 0.247)","(0.251, 0.251)"
41,41,"(0.265, 0.265)","(0.227, 0.227)","(0.249, 0.249)","(0.277, 0.277)","(0.235, 0.235)","(0.261, 0.261)","(0.281, 0.281)","(0.261, 0.261)"
42,42,"(0.249, 0.249)","(0.275, 0.275)","(0.255, 0.255)","(0.258, 0.258)","(0.26, 0.26)","(0.268, 0.268)","(0.266, 0.266)","(0.253, 0.253)"
43,43,"(0.227, 0.227)","(0.246, 0.246)","(0.258, 0.258)","(0.267, 0.267)","(0.265, 0.265)","(0.26, 0.26)","(0.258, 0.258)","(0.26, 0.26)"
44,44,"(0.264, 0.264)","(0.254, 0.254)","(0.273, 0.273)","(0.268, 0.268)","(0.262, 0.262)","(0.264, 0.264)","(0.244, 0.244)","(0.252, 0.252)"
45,45,"(0.252, 0.252)","(0.263, 0.263)","(0.253, 0.253)","(0.246, 0.246)","(0.235, 0.235)","(0.258, 0.258)","(0.244, 0.244)","(0.252, 0.252)"
46,46,"(0.276, 0.276)","(0.264, 0.264)","(0.264, 0.264)","(0.28, 0.28)","(0.267, 0.267)","(0.27, 0.27)","(0.249, 0.249)","(0.274, 0.274)"
47,47,"(0.237, 0.237)","(0.265, 0.265)","(0.258, 0.258)","(0.24, 0.24)","(0.246, 0.246)","(0.272, 0.272)","(0.257, 0.257)","(0.271, 0.271)"
48,48,"(0.247, 0.247)","(0.254, 0.254)","(0.258, 0.258)","(0.242, 0.242)","(0.246, 0.246)","(0.227, 0.227)","(0.268, 0.268)","(0.259, 0.259)"
49,49,"(0.253, 0.253)","(0.26, 0.26)","(0.264, 0.264)","(0.247, 0.247)","(0.247, 0.247)","(0.28, 0.28)","(0.267, 0.267)","(0.256, 0.256)"
